,squadra_casa,squadra_trasferta,risultato
0,Brescia,Sampdoria,1 - 1
1,Milan,Cagliari,3 - 0
2,Atalanta,Inter,0 - 2
3,Napoli,Lazio,3 - 1
4,Juventus,Roma,1 - 3
5,Spal,Fiorentina,1 - 3
6,Genoa,Verona,3 - 0
7,Lecce,Parma,3 - 4
8,Bologna,Torino,1 - 1
9,Sassuolo,Udinese,0 - 1
