,squadra_casa,squadra_trasferta,risultato
0,Brescia,Atalanta,0 - 3
1,Genoa,Torino,0 - 1
2,Fiorentina,Lecce,0 - 1
3,Juventus,Sassuolo,2 - 2
4,Inter,Spal,2 - 1
5,Lazio,Udinese,3 - 0
6,Parma,Milan,0 - 1
7,Napoli,Bologna,1 - 2
8,Verona,Roma,1 - 3
9,Cagliari,Sampdoria,4 - 3
