,squadra_casa,squadra_trasferta,risultato
0,Brescia,Lazio,1 - 2
1,Spal,Verona,0 - 2
2,Genoa,Sassuolo,2 - 1
3,Roma,Torino,0 - 2
4,Bologna,Fiorentina,1 - 1
5,Atalanta,Parma,5 - 0
6,Juventus,Cagliari,4 - 0
7,Milan,Sampdoria,0 - 0
8,Lecce,Udinese,0 - 1
9,Napoli,Inter,1 - 3
