,squadra_casa,squadra_trasferta,risultato
0,Inter,Roma,0 - 0
1,Atalanta,Verona,3 - 2
2,Udinese,Napoli,1 - 1
3,Lazio,Juventus,3 - 1
4,Lecce,Genoa,2 - 2
5,Sassuolo,Cagliari,2 - 2
6,Spal,Brescia,0 - 1
7,Torino,Fiorentina,2 - 1
8,Sampdoria,Parma,0 - 1
9,Bologna,Milan,2 - 3
