,squadra_casa,squadra_trasferta,risultato
0,Juventus,Lecce,4 - 0
1,Brescia,Genoa,2 - 2
2,Cagliari,Torino,4 - 2
3,Lazio,Fiorentina,2 - 1
4,Milan,Roma,2 - 0
5,Udinese,Atalanta,2 - 3
6,Sampdoria,Bologna,1 - 2
7,Sassuolo,Verona,3 - 3
8,Napoli,Spal,3 - 1
9,Parma,Inter,1 - 2
