Partita,0,1,2,3,4
Napoli-Atalanta,0.6512147624561669,0.1630506844990505,0.09276707965971126,0.04545114307439507,0.047516330310675994
Genoa-Frosinone,0.31707004539468475,0.2951207735133508,0.23372552554210216,0.12810565101973276,0.025978004530129495
Torino-Monza,0.40908345855977857,0.310844531240128,0.15925387138548514,0.08783254068451585,0.032985598130092386
Lazio-Juventus,0.5886800582137398,0.2491299971495108,0.12217035366413088,0.03384499491276552,0.0061745960598531225
Fiorentina-Milan,0.5294255637900206,0.22048292611385698,0.15527823387326178,0.05460926781079634,0.04020400841206421
Bologna-Salernitana,0.19575358051450903,0.22202630958471473,0.30601388927790496,0.19252950820795856,0.08367671241491266
Cagliari-Verona,0.39508764385928935,0.33081921535287856,0.22183322219823265,0.044185408504290084,0.008074510085309114
Sassuolo-Udinese,0.3398569655936752,0.21260648417429026,0.3356730597679073,0.07035043339405349,0.0415130570700739
Lecce-Roma,0.5910386517908768,0.2079859700397969,0.16910996116362292,0.025536961133177626,0.006328455872525755
Inter-Empoli,0.3827888195551751,0.08401373949764367,0.20008486755816027,0.1017282527190942,0.23138432066992684
