Partita,O,U
Napoli-Atalanta,0.4628952370819901,0.5371047629180099
Genoa-Frosinone,0.5953489894623746,0.4046510105376254
Torino-Monza,0.12934949195733125,0.8706505080426687
Lazio-Juventus,0.2184506649566491,0.7815493350433509
Fiorentina-Milan,0.5464243833531021,0.45357561664689794
Bologna-Salernitana,0.4131243863760625,0.5868756136239375
Cagliari-Verona,0.4618801250500937,0.5381198749499063
Sassuolo-Udinese,0.6555417119368356,0.34445828806316436
Lecce-Roma,0.36454153258612343,0.6354584674138766
Inter-Empoli,0.4096330984330222,0.5903669015669778
