Partita,GG,NG
Napoli-Atalanta,0.5592417061611374,0.44075829383886256
Genoa-Frosinone,0.5687203791469194,0.4312796208530806
Torino-Monza,0.6208530805687204,0.3791469194312796
Lazio-Juventus,0.5687203791469194,0.4312796208530806
Fiorentina-Milan,0.5639810426540285,0.43601895734597157
Bologna-Salernitana,0.46919431279620855,0.5308056872037915
Cagliari-Verona,0.5213270142180095,0.4786729857819905
Sassuolo-Udinese,0.5308056872037915,0.46919431279620855
Lecce-Roma,0.6161137440758294,0.38388625592417064
Inter-Empoli,0.46445497630331756,0.5355450236966824
