,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,16.0,19.0,3.0,1.0,1,25.0,0.0,8.0
Milan,13.0,22.0,9.0,1.0,2,25.0,0.0,8.0
Inter,12.0,24.0,12.0,3.0,3,18.0,1.0,5.0
Roma,7.0,16.0,9.0,1.0,4,16.0,3.0,5.0
Atalanta,4.0,15.0,11.0,3.0,5,15.0,2.0,4.0
Juventus,2.0,13.0,11.0,3.0,6,15.0,2.0,4.0
Fiorentina,1.0,13.0,12.0,0.0,7,15.0,4.0,5.0
Lazio,2.0,18.0,16.0,2.0,8,14.0,3.0,4.0
Bologna,-4.0,15.0,19.0,3.0,9,12.0,3.0,3.0
Empoli,-4.0,14.0,18.0,0.0,10,12.0,5.0,4.0
Verona,3.0,21.0,18.0,2.0,11,11.0,4.0,3.0
Torino,2.0,11.0,9.0,2.0,12,11.0,4.0,3.0
Sassuolo,0.0,12.0,12.0,2.0,13,11.0,4.0,3.0
Udinese,-2.0,11.0,13.0,4.0,14,10.0,3.0,2.0
Sampdoria,-4.0,13.0,17.0,3.0,15,9.0,4.0,2.0
Venezia,-8.0,7.0,15.0,2.0,16,8.0,5.0,2.0
Spezia,-11.0,11.0,22.0,1.0,17,7.0,6.0,2.0
Genoa,-7.0,14.0,21.0,3.0,18,6.0,5.0,1.0
Cagliari,-9.0,11.0,20.0,3.0,19,6.0,5.0,1.0
Salernitana,-13.0,8.0,21.0,1.0,20,4.0,7.0,1.0
