squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,34.0,55.0,21.0,5.0,1,53.0,3.0,16.0
Napoli,29.0,45.0,16.0,4.0,2,52.0,4.0,16.0
Milan,23.0,49.0,26.0,4.0,3,52.0,4.0,16.0
Juventus,15.0,36.0,21.0,6.0,4,45.0,5.0,13.0
Atalanta,17.0,49.0,32.0,8.0,5,44.0,4.0,12.0
Lazio,10.0,49.0,39.0,6.0,6,39.0,7.0,11.0
Roma,10.0,40.0,30.0,3.0,7,39.0,9.0,12.0
Fiorentina,4.0,41.0,37.0,3.0,8,36.0,10.0,11.0
Torino,7.0,34.0,27.0,6.0,9,33.0,9.0,9.0
Verona,3.0,43.0,40.0,6.0,10,33.0,9.0,9.0
Bologna,-7.0,31.0,38.0,4.0,11,31.0,11.0,9.0
Empoli,-10.0,37.0,47.0,6.0,12,30.0,10.0,8.0
Sassuolo,-3.0,39.0,42.0,8.0,13,29.0,9.0,7.0
Udinese,-3.0,34.0,37.0,9.0,14,27.0,9.0,6.0
Spezia,-18.0,26.0,44.0,5.0,15,26.0,12.0,7.0
Sampdoria,-8.0,33.0,41.0,5.0,16,23.0,13.0,6.0
Cagliari,-21.0,24.0,45.0,8.0,17,20.0,12.0,4.0
Venezia,-23.0,21.0,44.0,6.0,18,18.0,14.0,4.0
Salernitana,-34.0,19.0,53.0,3.0,19,18.0,16.0,5.0
Genoa,-25.0,20.0,45.0,11.0,20,14.0,12.0,1.0
