squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Milan,24.0,52.0,28.0,5.0,1,56.0,4.0,17.0
Inter,32.0,56.0,24.0,6.0,2,54.0,4.0,16.0
Napoli,29.0,47.0,18.0,6.0,3,54.0,4.0,16.0
Juventus,15.0,38.0,23.0,8.0,4,47.0,5.0,13.0
Atalanta,16.0,50.0,34.0,9.0,5,45.0,5.0,12.0
Lazio,13.0,53.0,40.0,7.0,6,43.0,7.0,12.0
Fiorentina,6.0,44.0,38.0,3.0,7,42.0,10.0,13.0
Roma,10.0,44.0,34.0,5.0,8,41.0,9.0,12.0
Verona,7.0,49.0,42.0,7.0,9,37.0,9.0,10.0
Torino,6.0,36.0,30.0,7.0,10,34.0,10.0,9.0
Bologna,-9.0,33.0,42.0,4.0,11,34.0,12.0,10.0
Sassuolo,-1.0,43.0,44.0,9.0,12,33.0,9.0,8.0
Empoli,-12.0,38.0,50.0,7.0,13,31.0,11.0,8.0
Udinese,-7.0,35.0,42.0,10.0,14,28.0,10.0,6.0
Sampdoria,-7.0,35.0,42.0,5.0,15,26.0,14.0,7.0
Spezia,-20.0,28.0,48.0,5.0,16,26.0,14.0,7.0
Cagliari,-21.0,26.0,47.0,10.0,17,22.0,12.0,4.0
Venezia,-22.0,24.0,46.0,7.0,18,22.0,14.0,5.0
Salernitana,-34.0,22.0,56.0,5.0,19,20.0,16.0,5.0
Genoa,-25.0,22.0,47.0,13.0,20,16.0,12.0,1.0
