squadra,gol_fatti,gol_subiti,punti,pareggio,sconfitta,vittoria,differenza_reti,posizione
Inter,4.0,0.0,3.0,0.0,0.0,1.0,4.0,1
Roma,3.0,1.0,3.0,0.0,0.0,1.0,2.0,2
Lazio,3.0,1.0,3.0,0.0,0.0,1.0,2.0,3
Napoli,2.0,0.0,3.0,0.0,0.0,1.0,2.0,4
Bologna,3.0,2.0,3.0,0.0,0.0,1.0,1.0,5
Sassuolo,3.0,2.0,3.0,0.0,0.0,1.0,1.0,6
Atalanta,2.0,1.0,3.0,0.0,0.0,1.0,1.0,7
Milan,1.0,0.0,3.0,0.0,0.0,1.0,1.0,8
Udinese,2.0,2.0,1.0,1.0,0.0,0.0,0.0,9
Cagliari,2.0,2.0,1.0,1.0,0.0,0.0,0.0,10
Juventus,2.0,2.0,1.0,1.0,0.0,0.0,0.0,11
Spezia,2.0,2.0,1.0,1.0,0.0,0.0,0.0,12
Verona,2.0,3.0,0.0,0.0,1.0,0.0,-1.0,13
Salernitana,2.0,3.0,0.0,0.0,1.0,0.0,-1.0,14
Torino,1.0,2.0,0.0,0.0,1.0,0.0,-1.0,15
Sampdoria,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,16
Empoli,1.0,3.0,0.0,0.0,1.0,0.0,-2.0,17
Fiorentina,1.0,3.0,0.0,0.0,1.0,0.0,-2.0,18
Venezia,0.0,2.0,0.0,0.0,1.0,0.0,-2.0,19
Genoa,0.0,4.0,0.0,0.0,1.0,0.0,-4.0,20
