,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,30.0,47.0,17.0,6.0,1,57.0,4.0,17.0
Milan,24.0,53.0,29.0,6.0,2,57.0,4.0,17.0
Inter,32.0,56.0,24.0,7.0,3,55.0,4.0,16.0
Juventus,16.0,41.0,25.0,8.0,4,50.0,5.0,14.0
Atalanta,20.0,54.0,34.0,9.0,5,48.0,5.0,13.0
Roma,11.0,45.0,34.0,5.0,6,44.0,9.0,13.0
Lazio,12.0,53.0,41.0,7.0,7,43.0,8.0,12.0
Fiorentina,5.0,45.0,40.0,3.0,8,42.0,11.0,13.0
Verona,9.0,52.0,43.0,7.0,9,40.0,9.0,11.0
Sassuolo,0.0,43.0,43.0,9.0,10,36.0,9.0,9.0
Bologna,-9.0,34.0,43.0,5.0,11,35.0,12.0,10.0
Torino,5.0,36.0,31.0,7.0,12,34.0,11.0,9.0
Empoli,-13.0,40.0,53.0,7.0,13,31.0,12.0,8.0
Udinese,-7.0,36.0,43.0,11.0,14,29.0,10.0,6.0
Sampdoria,-11.0,35.0,46.0,5.0,15,26.0,15.0,7.0
Spezia,-21.0,28.0,49.0,5.0,16,26.0,15.0,7.0
Cagliari,-20.0,28.0,48.0,10.0,17,25.0,12.0,5.0
Venezia,-24.0,25.0,49.0,7.0,18,22.0,15.0,5.0
Salernitana,-34.0,23.0,57.0,6.0,19,21.0,16.0,5.0
Genoa,-25.0,22.0,47.0,14.0,20,17.0,12.0,1.0
