,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,33.0,48.0,15.0,4.0,1,43.0,1.0,13.0
Napoli,22.0,35.0,13.0,3.0,2,39.0,3.0,12.0
Milan,16.0,36.0,20.0,3.0,3,39.0,3.0,12.0
Atalanta,14.0,38.0,24.0,4.0,4,37.0,3.0,11.0
Roma,10.0,30.0,20.0,1.0,5,31.0,7.0,10.0
Fiorentina,9.0,33.0,24.0,1.0,6,31.0,7.0,10.0
Juventus,8.0,25.0,17.0,4.0,7,31.0,5.0,9.0
Lazio,3.0,36.0,33.0,4.0,8,28.0,6.0,8.0
Empoli,-2.0,28.0,30.0,3.0,9,27.0,7.0,8.0
Torino,5.0,23.0,18.0,4.0,10,25.0,7.0,7.0
Sassuolo,2.0,30.0,28.0,6.0,11,24.0,6.0,6.0
Bologna,-7.0,24.0,31.0,3.0,12,24.0,8.0,7.0
Verona,2.0,33.0,31.0,5.0,13,23.0,7.0,6.0
Udinese,-2.0,26.0,28.0,8.0,14,20.0,6.0,4.0
Sampdoria,-8.0,26.0,34.0,4.0,15,19.0,9.0,5.0
Venezia,-14.0,17.0,31.0,5.0,16,17.0,9.0,4.0
Spezia,-21.0,18.0,39.0,4.0,17,13.0,11.0,3.0
Genoa,-18.0,19.0,37.0,7.0,18,10.0,10.0,1.0
Cagliari,-21.0,17.0,38.0,7.0,19,10.0,10.0,1.0
Salernitana,-31.0,11.0,42.0,2.0,20,8.0,14.0,2.0
