,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,33.0,50.0,17.0,4.0,1,46.0,2.0,14.0
Milan,20.0,43.0,23.0,3.0,2,45.0,3.0,14.0
Napoli,21.0,36.0,15.0,4.0,3,40.0,4.0,12.0
Atalanta,14.0,42.0,28.0,6.0,4,39.0,3.0,11.0
Juventus,10.0,28.0,18.0,5.0,5,35.0,5.0,10.0
Roma,8.0,32.0,24.0,2.0,6,32.0,8.0,10.0
Lazio,5.0,42.0,37.0,5.0,7,32.0,6.0,9.0
Fiorentina,5.0,34.0,29.0,2.0,8,32.0,8.0,10.0
Bologna,-3.0,29.0,32.0,3.0,9,30.0,8.0,9.0
Empoli,-4.0,33.0,37.0,4.0,10,28.0,8.0,8.0
Verona,3.0,36.0,33.0,6.0,11,27.0,7.0,7.0
Torino,4.0,27.0,23.0,5.0,12,26.0,8.0,7.0
Sassuolo,-1.0,31.0,32.0,7.0,13,25.0,7.0,6.0
Udinese,1.0,30.0,29.0,8.0,14,23.0,7.0,5.0
Sampdoria,-9.0,28.0,37.0,5.0,15,20.0,10.0,5.0
Venezia,-17.0,19.0,36.0,5.0,16,17.0,11.0,4.0
Spezia,-21.0,20.0,41.0,4.0,17,16.0,12.0,4.0
Salernitana,-29.0,14.0,43.0,2.0,18,14.0,14.0,4.0
Cagliari,-22.0,19.0,41.0,7.0,19,13.0,11.0,2.0
Genoa,-18.0,20.0,38.0,9.0,20,12.0,10.0,1.0
