,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,14.0,16.0,2.0,0.0,1,18.0,0.0,6.0
Milan,9.0,12.0,3.0,1.0,2,16.0,0.0,5.0
Inter,13.0,20.0,7.0,2.0,3,14.0,0.0,4.0
Roma,6.0,14.0,8.0,0.0,4,12.0,2.0,4.0
Fiorentina,0.0,9.0,9.0,0.0,5,12.0,2.0,4.0
Lazio,6.0,14.0,8.0,2.0,6,11.0,1.0,3.0
Atalanta,2.0,8.0,6.0,2.0,7,11.0,1.0,3.0
Empoli,-1.0,9.0,10.0,0.0,8,9.0,3.0,3.0
Torino,3.0,8.0,5.0,2.0,9,8.0,2.0,2.0
Juventus,0.0,10.0,10.0,2.0,10,8.0,2.0,2.0
Bologna,-5.0,9.0,14.0,2.0,11,8.0,2.0,2.0
Sassuolo,-1.0,6.0,7.0,1.0,12,7.0,3.0,2.0
Udinese,-2.0,6.0,8.0,1.0,13,7.0,3.0,2.0
Verona,-3.0,11.0,14.0,2.0,14,5.0,3.0,1.0
Sampdoria,-3.0,7.0,10.0,2.0,15,5.0,3.0,1.0
Genoa,-5.0,10.0,15.0,2.0,16,5.0,3.0,1.0
Spezia,-7.0,8.0,15.0,1.0,17,4.0,4.0,1.0
Venezia,-7.0,4.0,11.0,1.0,18,4.0,4.0,1.0
Cagliari,-8.0,7.0,15.0,2.0,19,2.0,4.0,0.0
Salernitana,-11.0,4.0,15.0,1.0,20,1.0,5.0,0.0
