squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,12.0,14.0,2.0,0.0,1,15.0,0.0,5.0
Inter,13.0,18.0,5.0,1.0,2,13.0,0.0,4.0
Milan,8.0,10.0,2.0,1.0,3,13.0,0.0,4.0
Roma,7.0,12.0,5.0,0.0,4,12.0,1.0,4.0
Atalanta,2.0,6.0,4.0,1.0,5,10.0,1.0,3.0
Fiorentina,-1.0,8.0,9.0,0.0,6,9.0,2.0,3.0
Lazio,5.0,12.0,7.0,2.0,7,8.0,1.0,2.0
Bologna,-3.0,7.0,10.0,2.0,8,8.0,1.0,2.0
Torino,3.0,8.0,5.0,1.0,9,7.0,2.0,2.0
Udinese,-1.0,6.0,7.0,1.0,10,7.0,2.0,2.0
Empoli,-3.0,5.0,8.0,0.0,11,6.0,3.0,2.0
Juventus,-1.0,7.0,8.0,2.0,12,5.0,2.0,1.0
Sampdoria,-2.0,5.0,7.0,2.0,13,5.0,2.0,1.0
Sassuolo,-2.0,5.0,7.0,1.0,14,4.0,3.0,1.0
Verona,-3.0,8.0,11.0,1.0,15,4.0,3.0,1.0
Genoa,-5.0,7.0,12.0,1.0,16,4.0,3.0,1.0
Spezia,-6.0,7.0,13.0,1.0,17,4.0,3.0,1.0
Venezia,-7.0,3.0,10.0,0.0,18,3.0,4.0,1.0
Cagliari,-6.0,7.0,13.0,2.0,19,2.0,3.0,0.0
Salernitana,-10.0,4.0,14.0,1.0,20,1.0,4.0,0.0
