,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Milan,27.0,56.0,29.0,8.0,1,68.0,4.0,20.0
Inter,40.0,66.0,26.0,9.0,2,66.0,4.0,19.0
Napoli,32.0,56.0,24.0,6.0,3,66.0,6.0,20.0
Juventus,21.0,49.0,28.0,8.0,4,62.0,6.0,18.0
Roma,17.0,53.0,36.0,6.0,5,57.0,9.0,17.0
Lazio,17.0,63.0,46.0,7.0,6,55.0,9.0,16.0
Fiorentina,8.0,52.0,44.0,5.0,7,53.0,11.0,16.0
Atalanta,17.0,57.0,40.0,10.0,8,52.0,8.0,14.0
Sassuolo,6.0,56.0,50.0,10.0,9,46.0,10.0,12.0
Verona,7.0,56.0,49.0,9.0,10,45.0,11.0,12.0
Torino,5.0,38.0,33.0,10.0,11,40.0,12.0,10.0
Bologna,-9.0,36.0,45.0,7.0,12,40.0,14.0,11.0
Udinese,-2.0,47.0,49.0,12.0,13,39.0,11.0,9.0
Empoli,-15.0,41.0,56.0,10.0,14,34.0,14.0,8.0
Spezia,-22.0,32.0,54.0,6.0,15,33.0,17.0,9.0
Sampdoria,-15.0,39.0,54.0,5.0,16,29.0,19.0,8.0
Cagliari,-31.0,30.0,61.0,10.0,17,25.0,17.0,5.0
Genoa,-28.0,24.0,52.0,16.0,18,22.0,14.0,2.0
Venezia,-32.0,27.0,59.0,7.0,19,22.0,20.0,5.0
Salernitana,-43.0,26.0,69.0,7.0,20,22.0,20.0,5.0
