,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,23.0,30.0,7.0,2.0,1,35.0,1.0,11.0
Milan,12.0,30.0,18.0,2.0,2,32.0,2.0,10.0
Inter,19.0,34.0,15.0,4.0,3,31.0,1.0,9.0
Atalanta,11.0,28.0,17.0,4.0,4,28.0,2.0,8.0
Roma,9.0,24.0,15.0,1.0,5,25.0,5.0,8.0
Fiorentina,2.0,21.0,19.0,0.0,6,21.0,7.0,7.0
Juventus,2.0,18.0,16.0,3.0,7,21.0,5.0,6.0
Lazio,0.0,25.0,25.0,3.0,8,21.0,5.0,6.0
Bologna,-4.0,20.0,24.0,3.0,9,21.0,5.0,6.0
Verona,3.0,28.0,25.0,4.0,10,19.0,5.0,5.0
Empoli,-5.0,21.0,26.0,1.0,11,19.0,7.0,6.0
Sassuolo,1.0,22.0,21.0,3.0,12,18.0,6.0,5.0
Torino,3.0,17.0,14.0,2.0,13,17.0,7.0,5.0
Udinese,-4.0,16.0,20.0,6.0,14,15.0,5.0,3.0
Sampdoria,-6.0,20.0,26.0,3.0,15,15.0,7.0,4.0
Venezia,-9.0,12.0,21.0,3.0,16,15.0,7.0,4.0
Spezia,-17.0,15.0,32.0,2.0,17,11.0,9.0,3.0
Genoa,-9.0,17.0,26.0,7.0,18,10.0,6.0,1.0
Cagliari,-13.0,16.0,29.0,5.0,19,8.0,8.0,1.0
Salernitana,-18.0,11.0,29.0,2.0,20,8.0,10.0,2.0
