squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,19.0,26.0,7.0,2.0,1,32.0,1.0,10.0
Milan,14.0,29.0,15.0,2.0,2,32.0,1.0,10.0
Inter,17.0,32.0,15.0,4.0,3,28.0,1.0,8.0
Atalanta,10.0,27.0,17.0,4.0,4,25.0,2.0,7.0
Roma,8.0,23.0,15.0,1.0,5,22.0,5.0,7.0
Lazio,4.0,25.0,21.0,3.0,6,21.0,4.0,6.0
Fiorentina,3.0,20.0,17.0,0.0,7,21.0,6.0,7.0
Juventus,3.0,18.0,15.0,3.0,8,21.0,4.0,6.0
Verona,5.0,27.0,22.0,4.0,9,19.0,4.0,5.0
Bologna,-5.0,19.0,24.0,3.0,10,18.0,5.0,5.0
Torino,4.0,17.0,13.0,2.0,11,17.0,6.0,5.0
Empoli,-6.0,19.0,25.0,1.0,12,16.0,7.0,5.0
Sassuolo,-1.0,19.0,20.0,3.0,13,15.0,6.0,4.0
Venezia,-7.0,12.0,19.0,3.0,14,15.0,6.0,4.0
Udinese,-4.0,16.0,20.0,5.0,15,14.0,5.0,3.0
Sampdoria,-8.0,17.0,25.0,3.0,16,12.0,7.0,3.0
Spezia,-16.0,15.0,31.0,2.0,17,11.0,8.0,3.0
Genoa,-9.0,17.0,26.0,6.0,18,9.0,6.0,1.0
Cagliari,-13.0,15.0,28.0,4.0,19,7.0,8.0,1.0
Salernitana,-18.0,10.0,28.0,1.0,20,7.0,10.0,2.0
