,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Milan,31.0,61.0,30.0,8.0,1,77.0,4.0,23.0
Inter,45.0,74.0,29.0,9.0,2,75.0,4.0,22.0
Napoli,36.0,65.0,29.0,7.0,3,70.0,7.0,21.0
Juventus,23.0,54.0,31.0,9.0,4,69.0,6.0,20.0
Lazio,17.0,69.0,52.0,8.0,5,59.0,10.0,17.0
Roma,15.0,55.0,40.0,8.0,6,59.0,10.0,17.0
Atalanta,18.0,62.0,44.0,11.0,7,56.0,9.0,15.0
Fiorentina,7.0,54.0,47.0,5.0,8,56.0,13.0,17.0
Verona,9.0,61.0,52.0,10.0,9,52.0,11.0,14.0
Torino,8.0,44.0,36.0,11.0,10,47.0,12.0,12.0
Sassuolo,-1.0,58.0,59.0,10.0,11,46.0,13.0,12.0
Udinese,0.0,54.0,54.0,13.0,12,43.0,12.0,10.0
Bologna,-9.0,39.0,48.0,10.0,13,43.0,14.0,11.0
Empoli,-19.0,46.0,65.0,10.0,14,37.0,16.0,9.0
Sampdoria,-15.0,42.0,57.0,6.0,15,33.0,20.0,9.0
Spezia,-26.0,37.0,63.0,6.0,16,33.0,20.0,9.0
Salernitana,-41.0,31.0,72.0,8.0,17,29.0,20.0,7.0
Cagliari,-32.0,32.0,64.0,10.0,18,28.0,19.0,6.0
Genoa,-30.0,25.0,55.0,16.0,19,25.0,16.0,3.0
Venezia,-36.0,29.0,65.0,7.0,20,22.0,23.0,5.0
