,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Milan,30.0,60.0,30.0,8.0,1,74.0,4.0,22.0
Inter,44.0,72.0,28.0,9.0,2,72.0,4.0,21.0
Napoli,31.0,59.0,28.0,7.0,3,67.0,7.0,20.0
Juventus,22.0,52.0,30.0,9.0,4,66.0,6.0,19.0
Roma,15.0,55.0,40.0,7.0,5,58.0,10.0,17.0
Lazio,16.0,65.0,49.0,8.0,6,56.0,10.0,16.0
Fiorentina,8.0,54.0,46.0,5.0,7,56.0,12.0,17.0
Atalanta,18.0,61.0,43.0,10.0,8,55.0,9.0,15.0
Verona,8.0,59.0,51.0,10.0,9,49.0,11.0,13.0
Sassuolo,4.0,57.0,53.0,10.0,10,46.0,12.0,12.0
Torino,6.0,41.0,35.0,11.0,11,44.0,12.0,11.0
Udinese,1.0,53.0,52.0,13.0,12,43.0,11.0,10.0
Bologna,-9.0,39.0,48.0,9.0,13,42.0,14.0,11.0
Empoli,-17.0,45.0,62.0,10.0,14,37.0,15.0,9.0
Spezia,-25.0,34.0,59.0,6.0,15,33.0,19.0,9.0
Sampdoria,-16.0,41.0,57.0,6.0,16,30.0,20.0,8.0
Cagliari,-31.0,31.0,62.0,10.0,17,28.0,18.0,6.0
Salernitana,-41.0,30.0,71.0,7.0,18,28.0,20.0,7.0
Genoa,-29.0,25.0,54.0,16.0,19,25.0,15.0,3.0
Venezia,-35.0,28.0,63.0,7.0,20,22.0,22.0,5.0
