,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,8.0,10.0,2.0,0.0,1,12.0,0.0,4.0
Inter,11.0,15.0,4.0,1.0,2,10.0,0.0,3.0
Milan,6.0,8.0,2.0,1.0,3,10.0,0.0,3.0
Roma,6.0,11.0,5.0,0.0,4,9.0,1.0,3.0
Fiorentina,1.0,7.0,6.0,0.0,5,9.0,1.0,3.0
Lazio,5.0,11.0,6.0,1.0,6,7.0,1.0,2.0
Atalanta,1.0,4.0,3.0,1.0,7,7.0,1.0,2.0
Udinese,0.0,6.0,6.0,1.0,8,7.0,1.0,2.0
Bologna,-3.0,5.0,8.0,1.0,9,7.0,1.0,2.0
Torino,3.0,7.0,4.0,0.0,10,6.0,2.0,2.0
Sampdoria,2.0,5.0,3.0,2.0,11,5.0,1.0,1.0
Sassuolo,-1.0,4.0,5.0,1.0,12,4.0,2.0,1.0
Spezia,-5.0,5.0,10.0,1.0,13,4.0,2.0,1.0
Verona,-3.0,6.0,9.0,0.0,14,3.0,3.0,1.0
Genoa,-5.0,5.0,10.0,0.0,15,3.0,3.0,1.0
Empoli,-5.0,3.0,8.0,0.0,16,3.0,3.0,1.0
Venezia,-5.0,3.0,8.0,0.0,17,3.0,3.0,1.0
Juventus,-2.0,4.0,6.0,2.0,18,2.0,2.0,0.0
Cagliari,-4.0,7.0,11.0,2.0,19,2.0,2.0,0.0
Salernitana,-10.0,2.0,12.0,0.0,20,0.0,4.0,0.0
