squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,15.0,18.0,3.0,0.0,1,21.0,0.0,7.0
Milan,10.0,15.0,5.0,1.0,2,19.0,0.0,6.0
Inter,14.0,22.0,8.0,2.0,3,17.0,0.0,5.0
Roma,8.0,16.0,8.0,0.0,4,15.0,2.0,5.0
Fiorentina,-1.0,10.0,11.0,0.0,5,12.0,3.0,4.0
Lazio,3.0,15.0,12.0,2.0,6,11.0,2.0,3.0
Juventus,1.0,11.0,10.0,2.0,7,11.0,2.0,3.0
Atalanta,1.0,10.0,9.0,2.0,8,11.0,2.0,3.0
Bologna,-2.0,12.0,14.0,2.0,9,11.0,2.0,3.0
Empoli,-3.0,9.0,12.0,0.0,10,9.0,4.0,3.0
Torino,2.0,9.0,7.0,2.0,11,8.0,3.0,2.0
Verona,1.0,15.0,14.0,2.0,12,8.0,3.0,2.0
Udinese,-2.0,9.0,11.0,2.0,13,8.0,3.0,2.0
Sassuolo,-2.0,7.0,9.0,1.0,14,7.0,4.0,2.0
Sampdoria,-3.0,10.0,13.0,3.0,15,6.0,3.0,1.0
Genoa,-6.0,10.0,16.0,2.0,16,5.0,4.0,1.0
Venezia,-7.0,5.0,12.0,2.0,17,5.0,4.0,1.0
Salernitana,-10.0,5.0,15.0,1.0,18,4.0,5.0,1.0
Spezia,-11.0,8.0,19.0,1.0,19,4.0,5.0,1.0
Cagliari,-8.0,8.0,16.0,3.0,20,3.0,4.0,0.0
