,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,20.0,24.0,4.0,2.0,1,32.0,0.0,10.0
Milan,15.0,26.0,11.0,2.0,2,32.0,0.0,10.0
Inter,16.0,29.0,13.0,4.0,3,25.0,1.0,7.0
Atalanta,7.0,22.0,15.0,4.0,4,22.0,2.0,6.0
Lazio,6.0,25.0,19.0,3.0,5,21.0,3.0,6.0
Roma,6.0,21.0,15.0,1.0,6,19.0,5.0,6.0
Fiorentina,2.0,16.0,14.0,0.0,7,18.0,6.0,6.0
Juventus,1.0,16.0,15.0,3.0,8,18.0,4.0,5.0
Bologna,-4.0,19.0,23.0,3.0,9,18.0,4.0,5.0
Verona,4.0,25.0,21.0,4.0,10,16.0,4.0,4.0
Empoli,-5.0,18.0,23.0,1.0,11,16.0,6.0,5.0
Torino,3.0,15.0,12.0,2.0,12,14.0,6.0,4.0
Sassuolo,-1.0,17.0,18.0,2.0,13,14.0,6.0,4.0
Udinese,-3.0,15.0,18.0,5.0,14,14.0,4.0,3.0
Venezia,-8.0,11.0,19.0,3.0,15,12.0,6.0,3.0
Spezia,-13.0,13.0,26.0,2.0,16,11.0,7.0,3.0
Genoa,-7.0,17.0,24.0,6.0,17,9.0,5.0,1.0
Sampdoria,-10.0,15.0,25.0,3.0,18,9.0,7.0,2.0
Salernitana,-16.0,10.0,26.0,1.0,19,7.0,9.0,2.0
Cagliari,-13.0,13.0,26.0,3.0,20,6.0,8.0,1.0
