squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Milan,29.0,58.0,29.0,8.0,1,71.0,4.0,21.0
Inter,42.0,69.0,27.0,9.0,2,69.0,4.0,20.0
Napoli,32.0,59.0,27.0,7.0,3,67.0,6.0,20.0
Juventus,21.0,50.0,29.0,9.0,4,63.0,6.0,18.0
Roma,17.0,54.0,37.0,7.0,5,58.0,9.0,17.0
Lazio,17.0,65.0,48.0,8.0,6,56.0,9.0,16.0
Fiorentina,9.0,53.0,44.0,5.0,7,56.0,11.0,17.0
Atalanta,16.0,58.0,42.0,10.0,8,52.0,9.0,14.0
Verona,8.0,58.0,50.0,9.0,9,48.0,11.0,13.0
Sassuolo,5.0,58.0,53.0,10.0,10,46.0,11.0,12.0
Udinese,1.0,51.0,50.0,12.0,11,42.0,11.0,10.0
Torino,5.0,40.0,35.0,11.0,12,41.0,12.0,10.0
Bologna,-9.0,37.0,46.0,8.0,13,41.0,14.0,11.0
Empoli,-18.0,42.0,60.0,10.0,14,34.0,15.0,8.0
Spezia,-24.0,33.0,57.0,6.0,15,33.0,18.0,9.0
Sampdoria,-16.0,40.0,56.0,5.0,16,29.0,20.0,8.0
Cagliari,-30.0,31.0,61.0,10.0,17,28.0,17.0,6.0
Salernitana,-42.0,28.0,70.0,7.0,18,25.0,20.0,6.0
Genoa,-30.0,24.0,54.0,16.0,19,22.0,15.0,2.0
Venezia,-33.0,27.0,60.0,7.0,20,22.0,21.0,5.0
