,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Milan,33.0,64.0,31.0,8.0,1,80.0,4.0,24.0
Inter,47.0,78.0,31.0,9.0,2,78.0,4.0,23.0
Napoli,37.0,66.0,29.0,7.0,3,73.0,7.0,22.0
Juventus,22.0,55.0,33.0,9.0,4,69.0,7.0,20.0
Lazio,19.0,71.0,52.0,8.0,5,62.0,10.0,18.0
Atalanta,20.0,65.0,45.0,11.0,6,59.0,9.0,16.0
Roma,13.0,55.0,42.0,8.0,7,59.0,11.0,17.0
Fiorentina,9.0,56.0,47.0,5.0,8,59.0,13.0,18.0
Verona,7.0,62.0,55.0,10.0,9,52.0,12.0,14.0
Torino,7.0,44.0,37.0,11.0,10,47.0,13.0,12.0
Sassuolo,-1.0,59.0,60.0,11.0,11,47.0,13.0,12.0
Udinese,0.0,55.0,55.0,14.0,12,44.0,12.0,10.0
Bologna,-10.0,42.0,52.0,10.0,13,43.0,15.0,11.0
Empoli,-21.0,48.0,69.0,10.0,14,37.0,17.0,9.0
Sampdoria,-17.0,42.0,59.0,6.0,15,33.0,21.0,9.0
Spezia,-28.0,38.0,66.0,6.0,16,33.0,21.0,9.0
Salernitana,-41.0,32.0,73.0,9.0,17,30.0,20.0,7.0
Cagliari,-32.0,33.0,65.0,11.0,18,29.0,19.0,6.0
Genoa,-29.0,27.0,56.0,16.0,19,28.0,16.0,4.0
Venezia,-35.0,33.0,68.0,7.0,20,25.0,23.0,6.0
