,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Inter,34.0,49.0,15.0,4.0,1,46.0,1.0,14.0
Milan,18.0,40.0,22.0,3.0,2,42.0,3.0,13.0
Napoli,21.0,33.0,12.0,3.0,3,39.0,4.0,12.0
Atalanta,14.0,38.0,24.0,5.0,4,38.0,3.0,11.0
Juventus,10.0,27.0,17.0,4.0,5,34.0,5.0,10.0
Roma,10.0,31.0,21.0,2.0,6,32.0,7.0,10.0
Fiorentina,9.0,34.0,25.0,2.0,7,32.0,7.0,10.0
Lazio,5.0,38.0,33.0,4.0,8,31.0,6.0,9.0
Empoli,-4.0,30.0,34.0,3.0,9,27.0,8.0,8.0
Bologna,-4.0,27.0,31.0,3.0,10,27.0,8.0,8.0
Torino,4.0,22.0,18.0,4.0,11,25.0,8.0,7.0
Verona,2.0,34.0,32.0,6.0,12,24.0,7.0,6.0
Sassuolo,-1.0,28.0,29.0,6.0,13,24.0,7.0,6.0
Udinese,-3.0,26.0,29.0,8.0,14,20.0,7.0,4.0
Sampdoria,-8.0,27.0,35.0,5.0,15,20.0,9.0,5.0
Venezia,-16.0,18.0,34.0,5.0,16,17.0,10.0,4.0
Spezia,-20.0,19.0,39.0,4.0,17,16.0,11.0,4.0
Genoa,-18.0,19.0,37.0,8.0,18,11.0,10.0,1.0
Salernitana,-30.0,12.0,42.0,2.0,19,11.0,14.0,3.0
Cagliari,-23.0,17.0,40.0,7.0,20,10.0,11.0,1.0
