,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Milan,17.0,35.0,18.0,2.0,1,38.0,2.0,12.0
Inter,24.0,39.0,15.0,4.0,2,37.0,1.0,11.0
Napoli,22.0,32.0,10.0,3.0,3,36.0,2.0,11.0
Atalanta,16.0,35.0,19.0,4.0,4,34.0,2.0,10.0
Juventus,6.0,22.0,16.0,3.0,5,27.0,5.0,8.0
Fiorentina,5.0,27.0,22.0,0.0,6,27.0,7.0,9.0
Roma,5.0,24.0,19.0,1.0,7,25.0,7.0,8.0
Lazio,2.0,31.0,29.0,4.0,8,25.0,5.0,7.0
Bologna,-4.0,23.0,27.0,3.0,9,24.0,6.0,7.0
Verona,4.0,32.0,28.0,5.0,10,23.0,5.0,6.0
Empoli,-3.0,26.0,29.0,2.0,11,23.0,7.0,7.0
Sassuolo,1.0,24.0,23.0,5.0,12,20.0,6.0,5.0
Torino,3.0,19.0,16.0,4.0,13,19.0,7.0,5.0
Udinese,-6.0,21.0,27.0,7.0,14,16.0,6.0,3.0
Sampdoria,-10.0,22.0,32.0,3.0,15,15.0,9.0,4.0
Venezia,-14.0,15.0,29.0,3.0,16,15.0,9.0,4.0
Spezia,-19.0,17.0,36.0,3.0,17,12.0,10.0,3.0
Cagliari,-13.0,17.0,30.0,7.0,18,10.0,8.0,1.0
Genoa,-14.0,17.0,31.0,7.0,19,10.0,8.0,1.0
Salernitana,-22.0,11.0,33.0,2.0,20,8.0,12.0,2.0
