,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Milan,26.0,55.0,29.0,6.0,1,63.0,4.0,19.0
Napoli,30.0,49.0,19.0,6.0,2,60.0,5.0,18.0
Inter,37.0,62.0,25.0,8.0,3,59.0,4.0,17.0
Juventus,19.0,45.0,26.0,8.0,4,56.0,5.0,16.0
Atalanta,19.0,54.0,35.0,10.0,5,49.0,6.0,13.0
Lazio,16.0,57.0,41.0,7.0,6,49.0,8.0,14.0
Roma,12.0,47.0,35.0,6.0,7,48.0,9.0,14.0
Fiorentina,6.0,47.0,41.0,4.0,8,46.0,11.0,14.0
Verona,8.0,54.0,46.0,8.0,9,41.0,10.0,11.0
Sassuolo,3.0,49.0,46.0,10.0,10,40.0,9.0,10.0
Torino,5.0,37.0,32.0,9.0,11,36.0,11.0,9.0
Bologna,-10.0,34.0,44.0,6.0,12,36.0,13.0,10.0
Udinese,-6.0,39.0,45.0,12.0,13,33.0,10.0,7.0
Empoli,-14.0,40.0,54.0,8.0,14,32.0,13.0,8.0
Spezia,-20.0,30.0,50.0,5.0,15,29.0,16.0,8.0
Sampdoria,-14.0,37.0,51.0,5.0,16,26.0,17.0,7.0
Cagliari,-25.0,28.0,53.0,10.0,17,25.0,14.0,5.0
Venezia,-28.0,26.0,54.0,7.0,18,22.0,17.0,5.0
Salernitana,-39.0,25.0,64.0,7.0,19,22.0,17.0,5.0
Genoa,-25.0,22.0,47.0,16.0,20,19.0,12.0,1.0
