,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Napoli,23.0,32.0,9.0,3.0,1,36.0,1.0,11.0
Milan,15.0,33.0,18.0,2.0,2,35.0,2.0,11.0
Inter,21.0,36.0,15.0,4.0,3,34.0,1.0,10.0
Atalanta,15.0,32.0,17.0,4.0,4,31.0,2.0,9.0
Roma,8.0,24.0,16.0,1.0,5,25.0,6.0,8.0
Fiorentina,4.0,24.0,20.0,0.0,6,24.0,7.0,8.0
Juventus,4.0,20.0,16.0,3.0,7,24.0,5.0,7.0
Bologna,-3.0,21.0,24.0,3.0,8,24.0,5.0,7.0
Lazio,0.0,29.0,29.0,4.0,9,22.0,5.0,6.0
Verona,3.0,28.0,25.0,5.0,10,20.0,5.0,5.0
Empoli,-5.0,23.0,28.0,2.0,11,20.0,7.0,6.0
Sassuolo,1.0,24.0,23.0,4.0,12,19.0,6.0,5.0
Torino,3.0,19.0,16.0,3.0,13,18.0,7.0,5.0
Udinese,-4.0,20.0,24.0,7.0,14,16.0,5.0,3.0
Sampdoria,-8.0,21.0,29.0,3.0,15,15.0,8.0,4.0
Venezia,-13.0,12.0,25.0,3.0,16,15.0,8.0,4.0
Spezia,-19.0,15.0,34.0,2.0,17,11.0,10.0,3.0
Genoa,-12.0,17.0,29.0,7.0,18,10.0,7.0,1.0
Cagliari,-13.0,16.0,29.0,6.0,19,9.0,8.0,1.0
Salernitana,-20.0,11.0,31.0,2.0,20,8.0,11.0,2.0
