squadra,differenza_reti,gol_fatti,gol_subiti,pareggio,posizione,punti,sconfitta,vittoria
Milan,25.0,54.0,29.0,6.0,1,60.0,4.0,18.0
Inter,37.0,61.0,24.0,7.0,2,58.0,4.0,17.0
Napoli,29.0,49.0,20.0,6.0,3,57.0,5.0,17.0
Juventus,17.0,42.0,25.0,8.0,4,53.0,5.0,15.0
Atalanta,19.0,54.0,35.0,9.0,5,48.0,6.0,13.0
Roma,12.0,46.0,34.0,5.0,6,47.0,9.0,14.0
Lazio,15.0,57.0,42.0,7.0,7,46.0,8.0,13.0
Fiorentina,5.0,46.0,41.0,4.0,8,43.0,11.0,13.0
Verona,9.0,53.0,44.0,8.0,9,41.0,9.0,11.0
Sassuolo,3.0,49.0,46.0,9.0,10,39.0,9.0,10.0
Bologna,-9.0,34.0,43.0,6.0,11,36.0,12.0,10.0
Torino,5.0,37.0,32.0,8.0,12,35.0,11.0,9.0
Udinese,-6.0,38.0,44.0,11.0,13,32.0,10.0,7.0
Empoli,-13.0,40.0,53.0,8.0,14,32.0,12.0,8.0
Sampdoria,-12.0,36.0,48.0,5.0,15,26.0,16.0,7.0
Spezia,-22.0,28.0,50.0,5.0,16,26.0,16.0,7.0
Cagliari,-23.0,28.0,51.0,10.0,17,25.0,13.0,5.0
Venezia,-27.0,26.0,53.0,7.0,18,22.0,16.0,5.0
Salernitana,-39.0,23.0,62.0,6.0,19,21.0,17.0,5.0
Genoa,-25.0,22.0,47.0,15.0,20,18.0,12.0,1.0
