Partita,O,U
Lazio-Milan,0.42392205125944005,0.57607794874056
Udinese-Salernitana,0.5137840112945002,0.4862159887054998
Monza-Roma,0.3048382053083807,0.6951617946916193
Torino-Fiorentina,0.11311957222798663,0.8868804277720134
Verona-Sassuolo,0.3857819240674776,0.6142180759325224
Empoli-Cagliari,0.2666219849942252,0.7333780150057748
Frosinone-Lecce,0.47011954759480257,0.5298804524051974
Atalanta-Bologna,0.20921859895458939,0.7907814010454106
Napoli-Juventus,0.2903196609641183,0.7096803390358817
Inter-Genoa,0.3860805072819643,0.6139194927180357
