,0,1,2,3,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,0.0,0.0,0.0,0.0,1.0666666666666667,0.7988086367179803,1.2666666666666666,0.961150104723255
Sampdoria,0.0,0.0,0.0,0.0,0.8,0.8618916073713347,1.6666666666666667,1.3972762620115435
Genoa,0.0,0.0,0.0,0.0,1.1333333333333333,0.990430401872025,2.0,1.4142135623730951
Parma,0.0,0.0,0.0,0.0,1.4,1.4540583599999397,1.2,0.8618916073713346
Fiorentina,0.0,0.0,0.0,0.0,1.2666666666666666,1.0327955589886446,1.5333333333333334,1.4074631010979937
Lazio,0.0,0.0,0.0,0.0,2.4,1.1832159566199232,1.0,0.9258200997725514
Spal,0.0,0.0,0.0,0.0,0.6,0.7367883976130074,1.4666666666666666,0.990430401872025
Lecce,0.0,0.0,0.0,0.0,1.3333333333333333,0.8997354108424374,1.9333333333333333,1.2798809468443688
Verona,0.0,0.0,0.0,0.0,0.9333333333333333,0.7037315505489968,1.1333333333333333,1.0600988273786194
Juventus,0.0,0.0,0.0,0.0,1.7333333333333334,0.961150104723255,1.0,1.0
Udinese,0.0,0.0,0.0,0.0,0.6666666666666666,0.816496580927726,1.6,1.9566735620873066
Atalanta,0.0,0.0,0.0,0.0,2.466666666666667,1.6846647257229665,1.5333333333333334,1.0600988273786194
Inter,0.0,0.0,0.0,0.0,2.066666666666667,1.0997835284835875,0.8666666666666667,0.9154754164341268
Torino,0.0,0.0,0.0,0.0,1.2,1.2649110640673518,1.4,1.1832159566199232
Cagliari,0.0,0.0,0.0,0.0,2.066666666666667,1.3345232785352157,1.2666666666666666,0.8837151016885368
Bologna,0.0,0.0,0.0,0.0,1.4666666666666666,0.990430401872025,1.7333333333333334,1.0327955589886446
Roma,0.0,0.0,0.0,0.0,1.7333333333333334,1.4375905768565218,1.0,0.9258200997725514
Brescia,0.0,0.0,0.0,0.0,0.7333333333333333,0.7988086367179803,1.8666666666666667,1.4074631010979934
Napoli,0.0,0.0,0.0,0.0,1.6,1.2983506020002016,1.2666666666666666,1.162919151265879
Sassuolo,0.0,0.0,0.0,0.0,1.8666666666666667,1.0600988273786192,1.8,1.3732131246511903
