,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,0.0,0.0,1.0,0.0
Sampdoria,0.0,0.0,3.0,0.0
Genoa,3.0,0.0,3.0,0.0
Parma,0.0,0.0,1.0,0.0
Fiorentina,3.0,0.0,4.0,0.0
Lazio,3.0,0.0,0.0,0.0
Spal,2.0,0.0,3.0,0.0
Lecce,0.0,0.0,4.0,0.0
Verona,1.0,0.0,1.0,0.0
Juventus,1.0,0.0,0.0,0.0
Udinese,1.0,0.0,0.0,0.0
Atalanta,3.0,0.0,2.0,0.0
Inter,4.0,0.0,0.0,0.0
Torino,2.0,0.0,1.0,0.0
Cagliari,0.0,0.0,1.0,0.0
Bologna,1.0,0.0,1.0,0.0
Roma,3.0,0.0,3.0,0.0
Brescia,1.0,0.0,0.0,0.0
Napoli,4.0,0.0,3.0,0.0
Sassuolo,1.0,0.0,2.0,0.0
