Partita,O,U
Salernitana-Empoli,0.4742611868491584,0.5257388131508416
Cagliari-Lazio,0.43788055720079055,0.5621194427992094
Roma-Inter,0.3323898960746804,0.6676101039253196
Sassuolo-Torino,0.32043124356638175,0.6795687564336182
Fiorentina-Frosinone,0.3900225169181696,0.6099774830818304
Bologna-Lecce,0.23171656455953638,0.7682834354404636
Monza-Verona,0.15473076897374383,0.8452692310262562
Genoa-Atalanta,0.394261296484563,0.605738703515437
Milan-Napoli,0.41668786820276205,0.583312131797238
Juventus-Udinese,0.29440861022214526,0.7055913897778547
