Partita,GG,NG
Salernitana-Empoli,0.5592417061611374,0.44075829383886256
Cagliari-Lazio,0.6113744075829384,0.3886255924170616
Roma-Inter,0.5355450236966824,0.46445497630331756
Sassuolo-Torino,0.5924170616113744,0.4075829383886256
Fiorentina-Frosinone,0.5687203791469194,0.4312796208530806
Bologna-Lecce,0.5213270142180095,0.4786729857819905
Monza-Verona,0.5876777251184834,0.41232227488151657
Genoa-Atalanta,0.5592417061611374,0.44075829383886256
Milan-Napoli,0.5308056872037915,0.46919431279620855
Juventus-Udinese,0.46919431279620855,0.5308056872037915
