Partita,O,U
Bologna-Genoa,0.21501116484684135,0.7849888351531586
Inter-Verona,0.5054811878841159,0.49451881211588405
Frosinone-Monza,0.343802850018603,0.656197149981397
Lecce-Cagliari,0.2672154643781204,0.7327845356218796
Sassuolo-Fiorentina,0.5296383001598428,0.47036169984015724
Empoli-Milan,0.1767020483711681,0.8232979516288319
Torino-Napoli,0.19299332411592085,0.8070066758840791
Udinese-Lazio,0.3195369493737614,0.6804630506262386
Salernitana-Juventus,0.375822752072285,0.624177247927715
Roma-Atalanta,0.14444389757696585,0.8555561024230341
