Partita,GG,NG
Bologna-Genoa,0.25,0.75
Inter-Verona,0.33,0.67
Frosinone-Monza,0.53,0.47
Lecce-Cagliari,0.43,0.57
Sassuolo-Fiorentina,0.38,0.62
Empoli-Milan,0.34,0.66
Torino-Napoli,0.25,0.75
Udinese-Lazio,0.34,0.66
Salernitana-Juventus,0.41,0.59
Roma-Atalanta,0.2,0.8
