Partita,GG,NG
Verona-Napoli,0.35355969451325986,0.6464403054867401
Torino-Inter,0.15215008185243684,0.8478499181475632
Sassuolo-Lazio,0.8656983111558896,0.1343016888441104
Roma-Monza,0.21394559747694075,0.7860544025230592
Bologna-Frosinone,0.49926921914616973,0.5007307808538303
Salernitana-Cagliari,0.6402189719632092,0.35978102803679074
Atalanta-Genoa,0.24272852564435188,0.7572714743556481
Milan-Juventus,0.3975859865710597,0.6024140134289403
Udinese-Lecce,0.29797080400072495,0.702029195999275
Fiorentina-Empoli,0.7387487242123887,0.26125127578761126
