Partita,GG,NG
Monza-Juventus,0.1678135315467697,0.8321864684532303
Genoa-Empoli,0.20976482415833209,0.7902351758416679
Lazio-Cagliari,0.5558408245163438,0.4441591754836562
Milan-Frosinone,0.585924545685168,0.414075454314832
Lecce-Bologna,0.3073994782154461,0.6926005217845539
Fiorentina-Salernitana,0.42552891246978175,0.5744710875302182
Udinese-Verona,0.2317705831216169,0.7682294168783831
Sassuolo-Roma,0.7236981839730598,0.27630181602694015
Napoli-Inter,0.45974143189057715,0.5402585681094229
Torino-Atalanta,0.3485692013332109,0.6514307986667891
