Partita,O,U
Monza-Juventus,0.35,0.65
Genoa-Empoli,0.26,0.74
Lazio-Cagliari,0.35,0.65
Milan-Frosinone,0.43,0.57
Lecce-Bologna,0.4,0.6
Fiorentina-Salernitana,0.36,0.64
Udinese-Verona,0.28,0.72
Sassuolo-Roma,0.32,0.68
Napoli-Inter,0.36,0.64
Torino-Atalanta,0.44,0.56
