,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,1.0,0.0,0.0,0.0
Sampdoria,0.0,0.0,1.0,0.0
Genoa,0.0,0.0,4.0,0.0
Venezia,0.0,0.0,2.0,0.0
Fiorentina,1.0,0.0,3.0,0.0
Lazio,3.0,0.0,1.0,0.0
Salernitana,2.0,0.0,3.0,0.0
Spezia,2.0,0.0,2.0,0.0
Verona,2.0,0.0,3.0,0.0
Juventus,2.0,0.0,2.0,0.0
Udinese,2.0,0.0,2.0,0.0
Atalanta,2.0,0.0,1.0,0.0
Inter,4.0,0.0,0.0,0.0
Torino,1.0,0.0,2.0,0.0
Cagliari,2.0,0.0,2.0,0.0
Bologna,3.0,0.0,2.0,0.0
Roma,3.0,0.0,1.0,0.0
Empoli,1.0,0.0,3.0,0.0
Napoli,2.0,0.0,0.0,0.0
Sassuolo,3.0,0.0,2.0,0.0
