,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,2.230769230769231,1.0919284281983377,1.1538461538461537,1.1435437497937313
Sampdoria,1.3076923076923077,1.109400392450458,1.9230769230769231,1.3821202589704018
Genoa,1.3076923076923077,1.109400392450458,2.0,1.0
Venezia,0.9230769230769231,0.8623164985025763,1.4615384615384615,1.0500305245868342
Fiorentina,1.5384615384615385,1.2659242088545832,1.3076923076923077,1.1094003924504583
Lazio,1.8461538461538463,1.7722938923964167,1.5384615384615385,1.1982893790305562
Salernitana,0.7692307692307693,0.9268086959962984,2.1538461538461537,1.3445044840729643
Spezia,1.1538461538461537,0.8006407690254357,2.3846153846153846,1.757766648262388
Verona,2.076923076923077,1.1875421719907089,1.6923076923076923,1.0315534712764838
Juventus,1.3846153846153846,0.8697184926229038,1.1538461538461537,0.8987170342729172
Udinese,1.2307692307692308,1.1657505560686467,1.5384615384615385,1.126601424298216
Atalanta,2.076923076923077,1.3204505835470495,1.3076923076923077,0.8548504142651103
Inter,2.4615384615384617,1.3913653136029498,1.1538461538461537,0.898717034272917
Torino,1.2307692307692308,1.3634420996046583,0.9230769230769231,0.75955452531275
Cagliari,1.1538461538461537,0.9870962335856491,2.1538461538461537,0.8006407690254358
Bologna,1.4615384615384615,1.0500305245868342,1.8461538461538463,1.9081471748860572
Roma,1.7692307692307692,1.0919284281983377,1.1538461538461537,1.214231845389905
Empoli,1.4615384615384615,1.3301243435223524,1.9230769230769231,1.1151635501529558
Napoli,2.0,1.1547005383792515,0.5384615384615384,0.8770580193070292
Sassuolo,1.4615384615384615,0.9674179220468453,1.5384615384615385,0.8770580193070292
