,media_gol_fatti,varianza_gol_fatti,media_gol_subiti,varianza_gol_subiti
Milan,2.1176470588235294,1.0537049480984033,1.1176470588235294,1.1663164740528442
Sampdoria,1.4705882352941178,1.1245914290767742,1.9411764705882353,1.2976222599091634
Genoa,1.0588235294117647,1.0880365478290535,2.0,1.0606601717798212
Venezia,0.9411764705882353,0.9663454503498036,1.7647058823529411,1.2514697241996051
Fiorentina,1.8235294117647058,1.3339459376998315,1.2941176470588236,1.046703508780838
Lazio,1.9411764705882353,1.6759545129303968,1.8823529411764706,1.2689736473414486
Salernitana,0.6470588235294118,0.8617697249402124,2.176470588235294,1.2862393885688164
Spezia,1.0,0.8660254037844386,2.235294117647059,1.56242646885805
Verona,1.9411764705882353,1.2976222599091634,1.7647058823529411,1.0914103126634984
Juventus,1.3529411764705883,0.8617697249402123,1.0,0.8660254037844386
Udinese,1.2941176470588236,1.2631659571466125,1.6470588235294117,1.2718675476729209
Atalanta,2.176470588235294,1.2862393885688164,1.1764705882352942,0.8828430011649196
Inter,2.5294117647058822,1.280510008689093,0.8823529411764706,0.9275204136012635
Torino,1.2941176470588236,1.212678125181665,1.0588235294117647,0.658652814016432
Cagliari,1.0,0.9354143466934853,2.0,1.0606601717798212
Bologna,1.411764705882353,0.9393364366277241,1.7058823529411764,1.7945997423643292
Roma,1.5294117647058822,1.124591429076774,1.1176470588235294,1.21872643265298
Empoli,1.588235294117647,1.2277430273377534,1.7058823529411764,1.1048023512348792
Napoli,2.0,1.224744871391589,0.7647058823529411,1.0325582165612919
Sassuolo,1.6470588235294117,0.931475742477242,1.5294117647058822,0.7998161553463028
