,0,1,2,3,4
Empoli-Lazio,0.15291030626331512,0.1551147409385876,0.23498822936988256,0.2158609071322163,0.2411258162959927
Sassuolo-Genoa,0.18804419469775915,0.19552399850195373,0.19803186795962197,0.21511572246190244,0.20328421637875338
Monza-Fiorentina,0.2708930597656444,0.21506939224371108,0.17997538176438788,0.16352490920662452,0.17053725701962663
Salernitana-Milan,0.15844216249996387,0.15669396742938696,0.21993760053087535,0.23225733554423,0.23266893399555516
Frosinone-Juventus,0.1864521147393916,0.16535565120828702,0.22812096882458224,0.2051479397854178,0.21492332544233353
Bologna-Atalanta,0.2680630616800212,0.22850692312234996,0.16200572057361776,0.1888364654398541,0.15258782918417993
Torino-Udinese,0.1817072617744291,0.19815301730330886,0.2241827752433055,0.1952390227492133,0.20071792292973997
Verona-Cagliari,0.17886665466210155,0.15153541054901293,0.23682009877664092,0.21185745548126694,0.22092038053097215
Inter-Lecce,0.176077622414721,0.18380388593276137,0.21172941234354445,0.21065096971582972,0.21773810959315046
Roma-Napoli,0.17264342167418867,0.19682682401824145,0.205900551423171,0.22727312467970898,0.19735607820468098
0,,,,,
Empoli-Lazio,0.2487148300243732,0.20127479885385646,0.1932193655591016,0.1749488867713785,0.18184211879127993
Sassuolo-Genoa,0.18754198382454892,0.1951864787291236,0.21637910172102623,0.1949018902554059,0.20599054546990103
Monza-Fiorentina,0.16193337146126718,0.20464227937541302,0.21539576552802714,0.21817803731642949,0.19985054631885604
Salernitana-Milan,0.26399544174111744,0.17904370876140072,0.17997052214700118,0.19057127862763698,0.18641904872284473
Frosinone-Juventus,0.27318665706206374,0.24394752903798161,0.14381898298909504,0.17364152952928097,0.16540530138157575
Bologna-Atalanta,0.16672225368610352,0.20047874918044123,0.20206923322616005,0.22242097445901274,0.20830878944826234
Torino-Udinese,0.3095278272371083,0.24418707395313935,0.13184575438454885,0.15481549655761634,0.15962384786759667
Verona-Cagliari,0.2045118972069229,0.16628909094889194,0.22155182500084844,0.20897380239615654,0.19867338444718002
Inter-Lecce,0.30669045235791037,0.2289606260707718,0.14790632260473063,0.1558777294097073,0.16056486955686755
Roma-Napoli,0.2817557676845171,0.18974312795097878,0.15736250677318805,0.17316322625312322,0.19797537133818446
