Partita,O,U
Empoli-Lazio,0.37,0.63
Sassuolo-Genoa,0.42,0.58
Monza-Fiorentina,0.25,0.75
Salernitana-Milan,0.36,0.64
Frosinone-Juventus,0.33,0.67
Bologna-Atalanta,0.35,0.65
Torino-Udinese,0.24,0.76
Verona-Cagliari,0.29,0.71
Inter-Lecce,0.42,0.58
Roma-Napoli,0.34,0.66
