Partita,GG,NG
Empoli-Lazio,0.26210751993985004,0.73789248006015
Sassuolo-Genoa,0.676363355697355,0.32363664430264505
Monza-Fiorentina,0.3825524495906727,0.6174475504093273
Salernitana-Milan,0.7234068346774527,0.27659316532254735
Frosinone-Juventus,0.5765029457555504,0.42349705424444967
Bologna-Atalanta,0.36978842326119354,0.6302115767388065
Torino-Udinese,0.2217620709162098,0.7782379290837902
Verona-Cagliari,0.4077149575089343,0.5922850424910657
Inter-Lecce,0.517353827826005,0.48264617217399497
Roma-Napoli,0.4173929539309589,0.5826070460690411
