squadra,anno,giornata,gol_fatti_casa,gol_fatti_trasferta
Torino-Sampdoria,2022,14,2,0
Verona-Juventus,2022,14,0,1
Lazio-Monza,2022,14,1,0
Empoli-Cremonese,2022,15,2,0
Napoli-Udinese,2022,15,3,2
Sampdoria-Lecce,2022,15,0,2
Bologna-Sassuolo,2022,15,3,0
Atalanta-Inter,2022,15,2,3
Verona-Spezia,2022,15,1,2
Monza-Salernitana,2022,15,3,0
Roma-Torino,2022,15,1,1
Milan-Fiorentina,2022,15,2,1
Juventus-Lazio,2022,15,3,0
Salernitana-Milan,2022,16,1,2
Sassuolo-Sampdoria,2022,16,1,2
Spezia-Atalanta,2022,16,2,2
Torino-Verona,2022,16,1,1
Roma-Bologna,2022,16,1,0
Lecce-Lazio,2022,16,2,1
Cremonese-Juventus,2022,16,0,1
Fiorentina-Monza,2022,16,1,1
Inter-Napoli,2022,16,1,0
Udinese-Empoli,2022,16,1,1
Fiorentina-Sassuolo,2022,17,2,1
Juventus-Udinese,2022,17,1,0
Monza-Inter,2022,17,2,2
Salernitana-Torino,2022,17,1,1
Lazio-Empoli,2022,17,2,2
Spezia-Lecce,2022,17,0,0
Sampdoria-Napoli,2022,17,0,2
Milan-Roma,2022,17,2,2
Verona-Cremonese,2022,17,2,0
Bologna-Atalanta,2022,17,1,2
Napoli-Juventus,2022,18,4,1
Cremonese-Monza,2022,18,2,3
Lecce-Milan,2022,18,2,2
Inter-Verona,2022,18,1,0
Sassuolo-Lazio,2022,18,0,2
Torino-Spezia,2022,18,0,1
Udinese-Bologna,2022,18,1,2
Atalanta-Salernitana,2022,18,4,2
Roma-Fiorentina,2022,18,2,0
Empoli-Sampdoria,2022,18,1,0
Verona-Lecce,2022,19,2,0
Salernitana-Napoli,2022,19,0,2
Fiorentina-Torino,2022,19,0,1
Sampdoria-Udinese,2022,19,0,1
Monza-Sassuolo,2022,19,1,1
Spezia-Roma,2022,19,0,2
Juventus-Atalanta,2022,19,3,3
Bologna-Cremonese,2022,19,1,1
Inter-Empoli,2022,19,0,1
Lazio-Milan,2022,19,4,0
Bologna-Spezia,2022,20,2,0
Lecce-Salernitana,2022,20,1,2
Empoli-Torino,2022,20,2,2
Cremonese-Inter,2022,20,1,2
Atalanta-Sampdoria,2022,20,2,0
Milan-Sassuolo,2022,20,2,4
Juventus-Monza,2022,20,0,2
Lazio-Fiorentina,2022,20,1,1
Napoli-Roma,2022,20,2,1
Udinese-Verona,2022,20,1,1
Cremonese-Lecce,2022,21,0,2
Roma-Empoli,2022,21,2,0
Sassuolo-Atalanta,2022,21,1,0
Spezia-Napoli,2022,21,0,3
Torino-Udinese,2022,21,1,0
Fiorentina-Bologna,2022,21,1,2
Inter-Milan,2022,21,1,0
Verona-Lazio,2022,21,1,1
Monza-Sampdoria,2022,21,2,2
Salernitana-Juventus,2022,21,0,3
Milan-Torino,2022,22,1,0
Empoli-Spezia,2022,22,2,2
Lecce-Roma,2022,22,1,1
Lazio-Atalanta,2022,22,0,2
Udinese-Sassuolo,2022,22,2,2
Bologna-Monza,2022,22,0,1
Juventus-Fiorentina,2022,22,1,0
Napoli-Cremonese,2022,22,3,0
Verona-Salernitana,2022,22,1,0
Sampdoria-Inter,2022,22,0,0
Sassuolo-Napoli,2022,23,0,2
Sampdoria-Bologna,2022,23,1,2
Monza-Milan,2022,23,0,1
Inter-Udinese,2022,23,3,1
Atalanta-Lecce,2022,23,1,2
Fiorentina-Empoli,2022,23,1,1
Salernitana-Lazio,2022,23,0,2
Spezia-Juventus,2022,23,0,2
Roma-Verona,2022,23,1,0
Torino-Cremonese,2022,23,2,2
Empoli-Napoli,2022,24,0,2
Lecce-Sassuolo,2022,24,0,1
Bologna-Inter,2022,24,1,0
Salernitana-Monza,2022,24,3,0
Udinese-Spezia,2022,24,2,2
Milan-Atalanta,2022,24,2,0
Verona-Fiorentina,2022,24,0,3
Lazio-Sampdoria,2022,24,1,0
Cremonese-Roma,2022,24,2,1
Juventus-Torino,2022,24,4,2
Napoli-Lazio,2022,25,0,1
Monza-Empoli,2022,25,2,1
Atalanta-Udinese,2022,25,0,0
Fiorentina-Milan,2022,25,2,1
Spezia-Verona,2022,25,0,0
Sampdoria-Salernitana,2022,25,0,0
Inter-Lecce,2022,25,2,0
Roma-Juventus,2022,25,1,0
Sassuolo-Cremonese,2022,25,3,2
Torino-Bologna,2022,25,1,0
Spezia-Inter,2022,26,2,1
Empoli-Udinese,2022,26,0,1
Napoli-Atalanta,2022,26,2,0
Bologna-Lazio,2022,26,0,0
Lecce-Torino,2022,26,0,2
Cremonese-Fiorentina,2022,26,0,2
Verona-Monza,2022,26,1,1
Roma-Sassuolo,2022,26,3,4
Juventus-Sampdoria,2022,26,4,2
Milan-Salernitana,2022,26,1,1
Sassuolo-Spezia,2022,27,1,0
Atalanta-Empoli,2022,27,2,1
Monza-Cremonese,2022,27,1,1
Salernitana-Bologna,2022,27,2,2
Udinese-Milan,2022,27,3,1
Sampdoria-Verona,2022,27,3,1
Fiorentina-Lecce,2022,27,1,0
Torino-Napoli,2022,27,0,4
Lazio-Roma,2022,27,1,0
Inter-Juventus,2022,27,0,1
Cremonese-Atalanta,2022,28,1,3
Inter-Fiorentina,2022,28,0,1
Juventus-Verona,2022,28,1,0
Bologna-Udinese,2022,28,3,0
Monza-Lazio,2022,28,0,2
Spezia-Salernitana,2022,28,1,1
Roma-Sampdoria,2022,28,3,0
Napoli-Milan,2022,28,0,4
Empoli-Lecce,2022,28,1,0
Sassuolo-Torino,2022,28,1,1
Salernitana-Inter,2022,29,1,1
Lecce-Napoli,2022,29,1,2
Milan-Empoli,2022,29,0,0
Udinese-Monza,2022,29,2,2
Fiorentina-Spezia,2022,29,1,1
Atalanta-Bologna,2022,29,0,2
Sampdoria-Cremonese,2022,29,2,3
Verona-Sassuolo,2022,29,2,1
Torino-Roma,2022,29,0,1
Lazio-Juventus,2022,29,2,1
Cremonese-Empoli,2022,30,1,0
Spezia-Lazio,2022,30,0,3
Bologna-Milan,2022,30,1,1
Napoli-Verona,2022,30,0,0
Inter-Monza,2022,30,0,1
Lecce-Sampdoria,2022,30,1,1
Torino-Salernitana,2022,30,1,1
Sassuolo-Juventus,2022,30,1,0
Roma-Udinese,2022,30,3,0
Fiorentina-Atalanta,2022,30,1,1
Verona-Bologna,2022,31,2,1
Salernitana-Sassuolo,2022,31,3,0
Lazio-Torino,2022,31,0,1
Sampdoria-Spezia,2022,31,1,1
Empoli-Inter,2022,31,0,3
Udinese-Cremonese,2022,31,3,0
Monza-Fiorentina,2022,31,3,2
Milan-Lecce,2022,31,2,0
Juventus-Napoli,2022,31,0,1
Atalanta-Roma,2022,31,3,1
Lecce-Udinese,2022,32,1,0
Spezia-Monza,2022,32,0,2
Roma-Milan,2022,32,1,1
Torino-Atalanta,2022,32,1,2
Inter-Lazio,2022,32,3,1
Cremonese-Verona,2022,32,1,1
Napoli-Salernitana,2022,32,1,1
Sassuolo-Empoli,2022,32,2,1
Fiorentina-Sampdoria,2022,32,4,0
Bologna-Juventus,2022,32,1,1
Atalanta-Spezia,2022,33,3,2
Juventus-Lecce,2022,33,2,1
Sampdoria-Torino,2022,33,0,2
Salernitana-Fiorentina,2022,33,3,3
Verona-Inter,2022,33,0,4
Lazio-Sassuolo,2022,33,2,0
Monza-Roma,2022,33,1,1
Milan-Cremonese,2022,33,1,1
Empoli-Bologna,2022,33,3,1
Udinese-Napoli,2022,33,1,1
Milan-Lazio,2022,34,2,0
Roma-Inter,2022,34,0,2
Cremonese-Spezia,2022,34,2,0
Atalanta-Juventus,2022,34,0,2
Torino-Monza,2022,34,1,1
Napoli-Fiorentina,2022,34,1,0
Lecce-Verona,2022,34,0,1
Empoli-Salernitana,2022,34,2,1
Udinese-Sampdoria,2022,34,2,0
Sassuolo-Bologna,2022,34,1,1
Lazio-Lecce,2022,35,2,2
Salernitana-Atalanta,2022,35,1,0
Spezia-Milan,2022,35,2,0
Inter-Sassuolo,2022,35,4,2
Verona-Torino,2022,35,0,1
Fiorentina-Udinese,2022,35,2,0
Monza-Napoli,2022,35,2,0
Bologna-Roma,2022,35,0,0
Juventus-Cremonese,2022,35,2,0
Sampdoria-Empoli,2022,35,1,1
Sassuolo-Monza,2022,36,1,2
Cremonese-Bologna,2022,36,1,4
Atalanta-Verona,2022,36,3,1
Milan-Sampdoria,2022,36,4,1
Lecce-Spezia,2022,36,0,0
Torino-Fiorentina,2022,36,1,1
Napoli-Inter,2022,36,3,1
Udinese-Lazio,2022,36,0,1
Roma-Salernitana,2022,36,2,2
Empoli-Juventus,2022,36,4,1
Sampdoria-Sassuolo,2022,37,2,2
Salernitana-Udinese,2022,37,3,2
Spezia-Torino,2022,37,0,4
Fiorentina-Roma,2022,37,2,1
Inter-Atalanta,2022,37,3,2
Verona-Empoli,2022,37,1,1
Bologna-Napoli,2022,37,2,2
Monza-Lecce,2022,37,0,1
Lazio-Cremonese,2022,37,3,2
Juventus-Milan,2022,37,0,1
Sassuolo-Fiorentina,2022,38,1,3
Torino-Inter,2022,38,0,1
Cremonese-Salernitana,2022,38,2,0
Empoli-Lazio,2022,38,0,2
Napoli-Sampdoria,2022,38,2,0
Atalanta-Monza,2022,38,4,2
Roma-Spezia,2022,38,2,1
Lecce-Bologna,2022,38,2,3
Milan-Verona,2022,38,3,1
Udinese-Juventus,2022,38,0,1
Juventus-Lecce,2023,5,0,0
Cagliari-Milan,2023,5,0,0
Empoli-Salernitana,2023,5,0,0
Verona-Atalanta,2023,5,0,0
Inter-Sassuolo,2023,5,0,0
Lazio-Torino,2023,5,0,0
Napoli-Udinese,2023,5,0,0
Frosinone-Fiorentina,2023,5,0,0
Monza-Bologna,2023,5,0,0
Genoa-Roma,2023,5,0,0
