,squadra_casa,squadra_trasferta,giornata,goal_casa,goal_trasferta,anno
0,Genoa,Inter,1,2,2,2024
1,Parma,Fiorentina,1,1,1,2024
2,Empoli,Monza,1,0,0,2024
3,Milan,Torino,1,2,2,2024
4,Bologna,Udinese,1,1,1,2024
5,Verona,Napoli,1,3,0,2024
6,Cagliari,Roma,1,0,0,2024
7,Lazio,Venezia,1,3,1,2024
8,Lecce,Atalanta,1,0,4,2024
9,Juventus,Como,1,3,0,2024
10,Parma,Milan,2,2,1,2024
11,Udinese,Lazio,2,2,1,2024
12,Inter,Lecce,2,2,0,2024
13,Monza,Genoa,2,0,1,2024
14,Fiorentina,Venezia,2,0,0,2024
15,Torino,Atalanta,2,2,1,2024
16,Napoli,Bologna,2,3,0,2024
17,Roma,Empoli,2,1,2,2024
18,Cagliari,Como,2,1,1,2024
19,Verona,Juventus,2,0,3,2024
20,Venezia,Torino,3,0,1,2024
21,Inter,Atalanta,3,4,0,2024
22,Bologna,Empoli,3,1,1,2024
23,Lecce,Cagliari,3,1,0,2024
24,Lazio,Milan,3,2,2,2024
25,Napoli,Parma,3,2,1,2024
26,Fiorentina,Monza,3,2,2,2024
27,Genoa,Verona,3,0,2,2024
28,Juventus,Roma,3,0,0,2024
29,Udinese,Como,3,1,0,2024
30,Como,Bologna,4,2,2,2024
31,Empoli,Juventus,4,0,0,2024
32,Milan,Venezia,4,4,0,2024
33,Genoa,Roma,4,1,1,2024
34,Atalanta,Fiorentina,4,3,2,2024
35,Torino,Lecce,4,0,0,2024
36,Cagliari,Napoli,4,0,4,2024
37,Monza,Inter,4,1,1,2024
38,Parma,Udinese,4,2,3,2024
39,Lazio,Verona,4,2,1,2024
40,Cagliari,Empoli,5,0,2,2024
41,Verona,Torino,5,2,3,2024
42,Venezia,Genoa,5,2,0,2024
43,Juventus,Napoli,5,0,0,2024
44,Lecce,Parma,5,2,2,2024
45,Fiorentina,Lazio,5,2,1,2024
46,Monza,Bologna,5,1,2,2024
47,Roma,Udinese,5,3,0,2024
48,Inter,Milan,5,1,2,2024
49,Atalanta,Como,5,2,3,2024
50,Milan,Lecce,6,3,0,2024
51,Udinese,Inter,6,2,3,2024
52,Genoa,Juventus,6,0,3,2024
53,Bologna,Atalanta,6,1,1,2024
54,Torino,Lazio,6,2,3,2024
55,Como,Verona,6,3,2,2024
56,Roma,Venezia,6,2,1,2024
57,Empoli,Fiorentina,6,0,0,2024
58,Napoli,Monza,6,2,0,2024
59,Parma,Cagliari,6,2,3,2024
60,Napoli,Como,7,0,0,2024
61,Verona,Venezia,7,0,0,2024
62,Udinese,Lecce,7,0,0,2024
63,Atalanta,Genoa,7,0,0,2024
64,Inter,Torino,7,0,0,2024
65,Juventus,Cagliari,7,0,0,2024
66,Bologna,Parma,7,0,0,2024
67,Lazio,Empoli,7,0,0,2024
68,Monza,Roma,7,0,0,2024
69,Fiorentina,Milan,7,0,0,2024
