,squadra_casa,squadra_trasferta,giornata,goal_casa,goal_trasferta,anno
0,Milan,Udinese,1,4,2,2022
1,Sampdoria,Atalanta,1,0,2,2022
2,Lecce,Inter,1,1,2,2022
3,Monza,Torino,1,1,2,2022
4,Fiorentina,Cremonese,1,3,2,2022
5,Lazio,Bologna,1,2,1,2022
6,Salernitana,Roma,1,0,1,2022
7,Spezia,Empoli,1,1,0,2022
8,Verona,Napoli,1,2,5,2022
9,Juventus,Sassuolo,1,3,0,2022
10,Torino,Lazio,2,0,0,2022
11,Udinese,Salernitana,2,0,0,2022
12,Inter,Spezia,2,3,0,2022
13,Sassuolo,Lecce,2,1,0,2022
14,Empoli,Fiorentina,2,0,0,2022
15,Napoli,Monza,2,4,0,2022
16,Atalanta,Milan,2,1,1,2022
17,Bologna,Verona,2,1,1,2022
18,Roma,Cremonese,2,1,0,2022
19,Sampdoria,Juventus,2,0,0,2022
20,Monza,Udinese,3,1,2,2022
21,Lazio,Inter,3,3,1,2022
22,Cremonese,Torino,3,1,2,2022
23,Juventus,Roma,3,1,1,2022
24,Milan,Bologna,3,2,0,2022
25,Spezia,Sassuolo,3,2,2,2022
26,Verona,Atalanta,3,0,1,2022
27,Salernitana,Sampdoria,3,4,0,2022
28,Fiorentina,Napoli,3,0,0,2022
29,Lecce,Empoli,3,1,1,2022
30,Sassuolo,Milan,4,0,0,2022
31,Inter,Cremonese,4,3,1,2022
32,Roma,Monza,4,3,0,2022
33,Empoli,Verona,4,1,1,2022
34,Sampdoria,Lazio,4,1,1,2022
35,Udinese,Fiorentina,4,1,0,2022
36,Juventus,Spezia,4,2,0,2022
37,Napoli,Lecce,4,1,1,2022
38,Atalanta,Torino,4,3,1,2022
39,Bologna,Salernitana,4,1,1,2022
40,Fiorentina,Juventus,5,1,1,2022
41,Milan,Inter,5,3,2,2022
42,Lazio,Napoli,5,1,2,2022
43,Cremonese,Sassuolo,5,0,0,2022
44,Spezia,Bologna,5,2,2,2022
45,Verona,Sampdoria,5,2,1,2022
46,Udinese,Roma,5,4,0,2022
47,Monza,Atalanta,5,0,2,2022
48,Salernitana,Empoli,5,2,2,2022
49,Torino,Lecce,5,1,0,2022
50,Napoli,Spezia,6,1,0,2022
51,Inter,Torino,6,1,0,2022
52,Sampdoria,Milan,6,1,2,2022
53,Atalanta,Cremonese,6,1,1,2022
54,Bologna,Fiorentina,6,2,1,2022
55,Lecce,Monza,6,1,1,2022
56,Sassuolo,Udinese,6,1,3,2022
57,Lazio,Verona,6,2,0,2022
58,Juventus,Salernitana,6,2,2,2022
59,Empoli,Roma,6,1,2,2022
60,Salernitana,Lecce,7,1,2,2022
61,Bologna,Empoli,7,0,1,2022
62,Spezia,Sampdoria,7,2,1,2022
63,Torino,Sassuolo,7,0,1,2022
64,Udinese,Inter,7,3,1,2022
65,Cremonese,Lazio,7,0,4,2022
66,Fiorentina,Verona,7,2,0,2022
67,Monza,Juventus,7,1,0,2022
68,Roma,Atalanta,7,0,1,2022
69,Milan,Napoli,7,1,2,2022
70,Napoli,Torino,8,3,1,2022
71,Inter,Roma,8,1,2,2022
72,Empoli,Milan,8,1,3,2022
73,Lazio,Spezia,8,4,0,2022
