,squadra_casa,squadra_trasferta,giornata,goal_casa,goal_trasferta,anno
0,Verona,Sassuolo,1,2,3,2021
1,Inter,Genoa,1,4,0,2021
2,Empoli,Lazio,1,1,3,2021
3,Torino,Atalanta,1,1,2,2021
4,Bologna,Salernitana,1,3,2,2021
5,Udinese,Juventus,1,2,2,2021
6,Napoli,Venezia,1,2,0,2021
7,Roma,Fiorentina,1,3,1,2021
8,Cagliari,Spezia,1,2,2,2021
9,Sampdoria,Milan,1,0,1,2021
10,Udinese,Venezia,2,3,0,2021
11,Verona,Inter,2,1,3,2021
12,Atalanta,Bologna,2,0,0,2021
13,Lazio,Spezia,2,6,1,2021
14,Fiorentina,Torino,2,2,1,2021
15,Juventus,Empoli,2,0,1,2021
16,Genoa,Napoli,2,1,2,2021
17,Sassuolo,Sampdoria,2,0,0,2021
18,Milan,Cagliari,2,4,1,2021
19,Salernitana,Roma,2,0,4,2021
20,Empoli,Venezia,3,1,2,2021
21,Napoli,Juventus,3,2,1,2021
22,Atalanta,Fiorentina,3,1,2,2021
23,Sampdoria,Inter,3,2,2,2021
24,Cagliari,Genoa,3,2,3,2021
25,Spezia,Udinese,3,0,1,2021
26,Torino,Salernitana,3,4,0,2021
27,Milan,Lazio,3,2,0,2021
28,Roma,Sassuolo,3,2,1,2021
29,Bologna,Verona,3,1,0,2021
30,Sassuolo,Torino,4,0,1,2021
31,Genoa,Fiorentina,4,1,2,2021
32,Inter,Bologna,4,6,1,2021
33,Salernitana,Atalanta,4,0,1,2021
34,Empoli,Sampdoria,4,0,3,2021
35,Venezia,Spezia,4,1,2,2021
36,Verona,Roma,4,3,2,2021
37,Lazio,Cagliari,4,2,2,2021
38,Juventus,Milan,4,1,1,2021
39,Udinese,Napoli,4,0,4,2021
40,Bologna,Genoa,5,2,2,2021
41,Atalanta,Sassuolo,5,2,1,2021
42,Fiorentina,Inter,5,1,3,2021
43,Salernitana,Verona,5,2,2,2021
44,Spezia,Juventus,5,2,3,2021
45,Cagliari,Empoli,5,0,2,2021
46,Milan,Venezia,5,2,0,2021
47,Sampdoria,Napoli,5,0,4,2021
48,Torino,Lazio,5,1,1,2021
49,Roma,Udinese,5,1,0,2021
50,Spezia,Milan,6,1,2,2021
51,Inter,Atalanta,6,2,2,2021
52,Genoa,Verona,6,3,3,2021
53,Juventus,Sampdoria,6,3,2,2021
54,Empoli,Bologna,6,4,2,2021
55,Sassuolo,Salernitana,6,1,0,2021
56,Udinese,Fiorentina,6,0,1,2021
57,Lazio,Roma,6,3,2,2021
58,Napoli,Cagliari,6,2,0,2021
59,Venezia,Torino,6,1,1,2021
60,Cagliari,Venezia,7,1,1,2021
61,Salernitana,Genoa,7,1,0,2021
62,Torino,Juventus,7,0,1,2021
63,Sassuolo,Inter,7,1,2,2021
64,Bologna,Lazio,7,3,0,2021
65,Verona,Spezia,7,4,0,2021
66,Sampdoria,Udinese,7,3,3,2021
67,Fiorentina,Napoli,7,1,2,2021
68,Roma,Empoli,7,2,0,2021
69,Atalanta,Milan,7,2,3,2021
70,Spezia,Salernitana,8,2,1,2021
71,Lazio,Inter,8,3,1,2021
72,Milan,Verona,8,3,2,2021
73,Cagliari,Sampdoria,8,3,1,2021
74,Empoli,Atalanta,8,1,4,2021
75,Genoa,Sassuolo,8,2,2,2021
76,Udinese,Bologna,8,1,1,2021
77,Napoli,Torino,8,1,0,2021
78,Juventus,Roma,8,1,0,2021
79,Venezia,Fiorentina,8,1,0,2021
80,Torino,Genoa,9,3,2,2021
81,Sampdoria,Spezia,9,2,1,2021
82,Salernitana,Empoli,9,2,4,2021
83,Sassuolo,Venezia,9,3,1,2021
84,Bologna,Milan,9,2,4,2021
85,Atalanta,Udinese,9,1,1,2021
