,squadra_casa,squadra_trasferta,giornata,goal_casa,goal_trasferta,anno
0,Fiorentina,Torino,1,1,0,2020
1,Verona,Roma,1,3,0,2020
2,Parma,Napoli,1,0,2,2020
3,Genoa,Crotone,1,4,1,2020
4,Sassuolo,Cagliari,1,1,1,2020
5,Juventus,Sampdoria,1,3,0,2020
6,Milan,Bologna,1,2,0,2020
7,Benevento,Inter,1,2,5,2020
8,Udinese,Spezia,1,0,2,2020
9,Lazio,Atalanta,1,1,4,2020
10,Torino,Atalanta,2,2,4,2020
11,Cagliari,Lazio,2,0,2,2020
12,Sampdoria,Benevento,2,2,3,2020
13,Inter,Fiorentina,2,4,3,2020
14,Spezia,Sassuolo,2,1,4,2020
15,Verona,Udinese,2,1,0,2020
16,Crotone,Milan,2,0,2,2020
17,Napoli,Genoa,2,6,0,2020
18,Roma,Juventus,2,2,2,2020
19,Bologna,Parma,2,4,1,2020
20,Fiorentina,Sampdoria,3,1,2,2020
21,Sassuolo,Crotone,3,4,1,2020
22,Udinese,Roma,3,0,1,2020
23,Atalanta,Cagliari,3,5,2,2020
24,Benevento,Bologna,3,1,0,2020
25,Lazio,Inter,3,1,1,2020
26,Parma,Verona,3,1,0,2020
27,Milan,Spezia,3,3,0,2020
28,Genoa,Torino,3,1,2,2020
29,Juventus,Napoli,3,2,1,2020
30,Napoli,Atalanta,4,4,1,2020
31,Inter,Milan,4,1,2,2020
32,Sampdoria,Lazio,4,3,0,2020
33,Crotone,Juventus,4,1,1,2020
34,Bologna,Sassuolo,4,3,4,2020
35,Spezia,Fiorentina,4,2,2,2020
36,Torino,Cagliari,4,2,3,2020
37,Udinese,Parma,4,3,2,2020
38,Roma,Benevento,4,5,2,2020
39,Verona,Genoa,4,0,0,2020
40,Sassuolo,Torino,5,3,3,2020
41,Atalanta,Sampdoria,5,1,3,2020
42,Genoa,Inter,5,0,2,2020
43,Lazio,Bologna,5,2,1,2020
44,Cagliari,Crotone,5,4,2,2020
45,Benevento,Napoli,5,1,2,2020
46,Parma,Spezia,5,2,2,2020
47,Fiorentina,Udinese,5,3,2,2020
48,Juventus,Verona,5,1,1,2020
49,Milan,Roma,5,3,3,2020
50,Crotone,Atalanta,6,1,2,2020
51,Inter,Parma,6,2,2,2020
52,Bologna,Cagliari,6,3,2,2020
53,Udinese,Milan,6,1,2,2020
54,Spezia,Juventus,6,1,4,2020
55,Torino,Lazio,6,3,4,2020
56,Napoli,Sassuolo,6,0,2,2020
57,Roma,Fiorentina,6,2,0,2020
58,Sampdoria,Genoa,6,1,1,2020
59,Verona,Benevento,6,3,1,2020
60,Sassuolo,Udinese,7,0,0,2020
61,Cagliari,Sampdoria,7,2,0,2020
62,Benevento,Spezia,7,0,3,2020
63,Parma,Fiorentina,7,0,0,2020
64,Lazio,Juventus,7,1,1,2020
65,Atalanta,Inter,7,1,1,2020
66,Genoa,Roma,7,1,3,2020
67,Torino,Crotone,7,0,0,2020
68,Bologna,Napoli,7,0,1,2020
69,Milan,Verona,7,2,2,2020
70,Crotone,Lazio,8,0,2,2020
71,Spezia,Atalanta,8,0,0,2020
72,Juventus,Cagliari,8,2,0,2020
73,Fiorentina,Benevento,8,0,1,2020
74,Inter,Torino,8,4,2,2020
75,Roma,Parma,8,3,0,2020
76,Sampdoria,Bologna,8,1,2,2020
77,Verona,Sassuolo,8,0,2,2020
78,Udinese,Genoa,8,1,0,2020
79,Napoli,Milan,8,1,3,2020
80,Sassuolo,Inter,9,0,3,2020
81,Benevento,Juventus,9,1,1,2020
82,Atalanta,Verona,9,0,2,2020
83,Lazio,Udinese,9,1,3,2020
84,Bologna,Crotone,9,1,0,2020
85,Milan,Fiorentina,9,2,0,2020
86,Cagliari,Spezia,9,2,2,2020
87,Napoli,Roma,9,4,0,2020
88,Torino,Sampdoria,9,2,2,2020
89,Genoa,Parma,9,1,2,2020
90,Spezia,Lazio,10,1,2,2020
91,Juventus,Torino,10,2,1,2020
92,Inter,Bologna,10,3,1,2020
93,Verona,Cagliari,10,1,1,2020
94,Parma,Benevento,10,0,0,2020
95,Roma,Sassuolo,10,0,0,2020
96,Crotone,Napoli,10,0,4,2020
97,Sampdoria,Milan,10,1,2,2020
98,Fiorentina,Genoa,10,1,1,2020
99,Udinese,Atalanta,10,1,1,2020
100,Sassuolo,Benevento,11,1,0,2020
101,Crotone,Spezia,11,4,1,2020
102,Torino,Udinese,11,2,3,2020
103,Lazio,Verona,11,1,2,2020
104,Cagliari,Inter,11,1,3,2020
105,Atalanta,Fiorentina,11,3,0,2020
106,Bologna,Roma,11,1,5,2020
107,Napoli,Sampdoria,11,2,1,2020
108,Genoa,Juventus,11,1,3,2020
109,Milan,Parma,11,2,2,2020
110,Udinese,Crotone,12,0,0,2020
111,Benevento,Lazio,12,1,1,2020
112,Juventus,Atalanta,12,1,1,2020
113,Fiorentina,Sassuolo,12,1,1,2020
114,Genoa,Milan,12,2,2,2020
115,Inter,Napoli,12,1,0,2020
116,Parma,Cagliari,12,0,0,2020
117,Spezia,Bologna,12,2,2,2020
118,Verona,Sampdoria,12,1,2,2020
119,Roma,Torino,12,3,1,2020
120,Fiorentina,Verona,13,1,1,2020
121,Sampdoria,Crotone,13,3,1,2020
122,Parma,Juventus,13,0,4,2020
123,Torino,Bologna,13,1,1,2020
124,Benevento,Genoa,13,2,0,2020
125,Cagliari,Udinese,13,1,1,2020
126,Inter,Spezia,13,2,1,2020
127,Sassuolo,Milan,13,1,2,2020
128,Atalanta,Roma,13,4,1,2020
129,Lazio,Napoli,13,2,0,2020
130,Crotone,Parma,14,2,1,2020
131,Juventus,Fiorentina,14,0,3,2020
132,Verona,Inter,14,1,2,2020
133,Bologna,Atalanta,14,2,2,2020
134,Milan,Lazio,14,3,2,2020
135,Napoli,Torino,14,1,1,2020
