,squadra_casa,squadra_trasferta,giornata,goal_casa,goal_trasferta,anno
0,Parma,Juventus,1,0,1,2019
1,Fiorentina,Napoli,1,3,4,2019
2,Udinese,Milan,1,1,0,2019
3,Cagliari,Brescia,1,0,1,2019
4,Verona,Bologna,1,1,1,2019
5,Roma,Genoa,1,3,3,2019
6,Sampdoria,Lazio,1,0,3,2019
7,Spal,Atalanta,1,2,3,2019
8,Torino,Sassuolo,1,2,1,2019
9,Inter,Lecce,1,4,0,2019
10,Bologna,Spal,2,1,0,2019
11,Milan,Brescia,2,1,0,2019
12,Juventus,Napoli,2,4,3,2019
13,Lazio,Roma,2,1,1,2019
14,Atalanta,Torino,2,2,3,2019
15,Cagliari,Inter,2,1,2,2019
16,Genoa,Fiorentina,2,2,1,2019
17,Lecce,Verona,2,0,1,2019
18,Sassuolo,Sampdoria,2,4,1,2019
19,Udinese,Parma,2,1,3,2019
20,Fiorentina,Juventus,3,0,0,2019
21,Napoli,Sampdoria,3,2,0,2019
22,Inter,Udinese,3,1,0,2019
23,Genoa,Atalanta,3,1,2,2019
24,Brescia,Bologna,3,3,4,2019
25,Parma,Cagliari,3,1,3,2019
26,Spal,Lazio,3,2,1,2019
27,Roma,Sassuolo,3,4,2,2019
28,Verona,Milan,3,0,1,2019
29,Torino,Lecce,3,1,2,2019
30,Cagliari,Genoa,4,3,1,2019
31,Udinese,Brescia,4,0,1,2019
32,Juventus,Verona,4,2,1,2019
33,Milan,Inter,4,0,2,2019
34,Sassuolo,Spal,4,3,0,2019
35,Bologna,Roma,4,1,2,2019
36,Lecce,Napoli,4,1,4,2019
37,Sampdoria,Torino,4,1,0,2019
38,Atalanta,Fiorentina,4,2,2,2019
39,Lazio,Parma,4,2,0,2019
40,Verona,Udinese,5,0,0,2019
41,Brescia,Juventus,5,1,2,2019
42,Roma,Atalanta,5,0,2,2019
43,Fiorentina,Sampdoria,5,2,1,2019
44,Genoa,Bologna,5,0,0,2019
45,Inter,Lazio,5,1,0,2019
46,Napoli,Cagliari,5,0,1,2019
47,Parma,Sassuolo,5,1,0,2019
48,Spal,Lecce,5,1,3,2019
49,Torino,Milan,5,2,1,2019
50,Juventus,Spal,6,2,0,2019
51,Sampdoria,Inter,6,1,3,2019
52,Sassuolo,Atalanta,6,1,4,2019
53,Napoli,Brescia,6,2,1,2019
54,Lazio,Genoa,6,4,0,2019
55,Lecce,Roma,6,0,1,2019
56,Udinese,Bologna,6,1,0,2019
57,Cagliari,Verona,6,1,1,2019
58,Milan,Fiorentina,6,1,3,2019
59,Parma,Torino,6,3,2,2019
60,Spal,Parma,7,1,0,2019
61,Verona,Sampdoria,7,2,0,2019
62,Genoa,Milan,7,1,2,2019
63,Fiorentina,Udinese,7,1,0,2019
64,Atalanta,Lecce,7,3,1,2019
65,Bologna,Lazio,7,2,2,2019
66,Roma,Cagliari,7,1,1,2019
67,Torino,Napoli,7,0,0,2019
68,Inter,Juventus,7,1,2,2019
69,Brescia,Sassuolo,7,0,2,2019
70,Lazio,Atalanta,8,3,3,2019
71,Napoli,Verona,8,2,0,2019
72,Juventus,Bologna,8,2,1,2019
73,Sassuolo,Inter,8,3,4,2019
74,Cagliari,Spal,8,2,0,2019
75,Sampdoria,Roma,8,0,0,2019
76,Udinese,Torino,8,1,0,2019
77,Parma,Genoa,8,5,1,2019
78,Milan,Lecce,8,2,2,2019
79,Brescia,Fiorentina,8,0,0,2019
80,Verona,Sassuolo,9,0,1,2019
81,Lecce,Juventus,9,1,1,2019
82,Inter,Parma,9,2,2,2019
83,Genoa,Brescia,9,3,1,2019
84,Bologna,Sampdoria,9,2,1,2019
85,Atalanta,Udinese,9,7,1,2019
86,Spal,Napoli,9,1,1,2019
87,Torino,Cagliari,9,1,1,2019
88,Roma,Milan,9,2,1,2019
89,Fiorentina,Lazio,9,1,2,2019
90,Parma,Verona,10,0,1,2019
91,Brescia,Inter,10,1,2,2019
92,Napoli,Atalanta,10,2,2,2019
93,Cagliari,Bologna,10,3,2,2019
94,Juventus,Genoa,10,2,1,2019
95,Lazio,Torino,10,4,0,2019
96,Sampdoria,Lecce,10,1,1,2019
97,Sassuolo,Fiorentina,10,1,2,2019
98,Udinese,Roma,10,0,4,2019
99,Milan,Spal,10,1,0,2019
100,Roma,Napoli,11,2,1,2019
101,Bologna,Inter,11,1,2,2019
102,Torino,Juventus,11,0,1,2019
103,Atalanta,Cagliari,11,0,2,2019
104,Genoa,Udinese,11,1,3,2019
105,Verona,Brescia,11,2,1,2019
106,Lecce,Sassuolo,11,2,2,2019
107,Fiorentina,Parma,11,1,1,2019
108,Milan,Lazio,11,1,2,2019
109,Spal,Sampdoria,11,0,1,2019
110,Sassuolo,Bologna,12,3,1,2019
111,Brescia,Torino,12,0,4,2019
112,Inter,Verona,12,2,1,2019
113,Napoli,Genoa,12,0,0,2019
114,Cagliari,Fiorentina,12,5,2,2019
115,Lazio,Lecce,12,4,2,2019
116,Sampdoria,Atalanta,12,0,0,2019
117,Udinese,Spal,12,0,0,2019
118,Parma,Roma,12,2,0,2019
119,Juventus,Milan,12,1,0,2019
120,Atalanta,Juventus,13,1,3,2019
121,Milan,Napoli,13,1,1,2019
122,Torino,Inter,13,0,3,2019
123,Bologna,Parma,13,2,2,2019
124,Verona,Fiorentina,13,1,0,2019
125,Roma,Brescia,13,3,0,2019
126,Sassuolo,Lazio,13,1,2,2019
127,Sampdoria,Udinese,13,2,1,2019
128,Lecce,Cagliari,13,2,2,2019
129,Spal,Genoa,13,1,1,2019
130,Brescia,Atalanta,14,0,3,2019
131,Genoa,Torino,14,0,1,2019
132,Fiorentina,Lecce,14,0,1,2019
133,Juventus,Sassuolo,14,2,2,2019
134,Inter,Spal,14,2,1,2019
135,Lazio,Udinese,14,3,0,2019
136,Parma,Milan,14,0,1,2019
137,Napoli,Bologna,14,1,2,2019
138,Verona,Roma,14,1,3,2019
139,Cagliari,Sampdoria,14,4,3,2019
140,Inter,Roma,15,0,0,2019
141,Atalanta,Verona,15,3,2,2019
142,Udinese,Napoli,15,1,1,2019
143,Lazio,Juventus,15,3,1,2019
144,Lecce,Genoa,15,2,2,2019
145,Sassuolo,Cagliari,15,2,2,2019
146,Spal,Brescia,15,0,1,2019
147,Torino,Fiorentina,15,2,1,2019
148,Sampdoria,Parma,15,0,1,2019
149,Bologna,Milan,15,2,3,2019
150,Brescia,Lecce,16,3,0,2019
151,Napoli,Parma,16,1,2,2019
152,Genoa,Sampdoria,16,0,1,2019
153,Verona,Torino,16,3,3,2019
154,Bologna,Atalanta,16,2,1,2019
155,Juventus,Udinese,16,3,1,2019
156,Milan,Sassuolo,16,0,0,2019
157,Roma,Spal,16,3,1,2019
158,Fiorentina,Inter,16,1,1,2019
159,Cagliari,Lazio,16,1,2,2019
160,Sampdoria,Juventus,17,1,2,2019
161,Fiorentina,Roma,17,1,4,2019
162,Udinese,Cagliari,17,2,1,2019
163,Inter,Genoa,17,4,0,2019
164,Torino,Spal,17,1,2,2019
165,Atalanta,Milan,17,5,0,2019
166,Lecce,Bologna,17,2,3,2019
167,Parma,Brescia,17,1,1,2019
168,Sassuolo,Napoli,17,1,2,2019
169,Lazio,Verona,17,0,0,2019
170,Brescia,Lazio,18,1,2,2019
171,Spal,Verona,18,0,2,2019
172,Genoa,Sassuolo,18,2,1,2019
173,Roma,Torino,18,0,2,2019
174,Bologna,Fiorentina,18,1,1,2019
175,Atalanta,Parma,18,5,0,2019
176,Juventus,Cagliari,18,4,0,2019
177,Milan,Sampdoria,18,0,0,2019
178,Lecce,Udinese,18,0,1,2019
179,Napoli,Inter,18,1,3,2019
180,Cagliari,Milan,19,0,2,2019
181,Lazio,Napoli,19,1,0,2019
182,Inter,Atalanta,19,1,1,2019
183,Udinese,Sassuolo,19,3,0,2019
184,Fiorentina,Spal,19,1,0,2019
185,Sampdoria,Brescia,19,5,1,2019
186,Torino,Bologna,19,1,0,2019
187,Verona,Genoa,19,2,1,2019
188,Roma,Juventus,19,1,2,2019
189,Parma,Lecce,19,2,0,2019
190,Lazio,Sampdoria,20,5,1,2019
191,Sassuolo,Torino,20,2,1,2019
192,Napoli,Fiorentina,20,0,2,2019
193,Milan,Udinese,20,3,2,2019
194,Brescia,Cagliari,20,2,2,2019
195,Bologna,Verona,20,1,1,2019
196,Lecce,Inter,20,1,1,2019
197,Genoa,Roma,20,1,3,2019
198,Juventus,Parma,20,2,1,2019
199,Atalanta,Spal,20,1,2,2019
200,Brescia,Milan,21,0,1,2019
201,Spal,Bologna,21,1,3,2019
202,Fiorentina,Genoa,21,0,0,2019
203,Torino,Atalanta,21,0,7,2019
204,Inter,Cagliari,21,1,1,2019
205,Verona,Lecce,21,3,0,2019
206,Sampdoria,Sassuolo,21,0,0,2019
207,Parma,Udinese,21,2,0,2019
208,Roma,Lazio,21,1,1,2019
209,Napoli,Juventus,21,2,1,2019
210,Bologna,Brescia,22,2,1,2019
211,Cagliari,Parma,22,2,2,2019
212,Sassuolo,Roma,22,4,2,2019
213,Juventus,Fiorentina,22,3,0,2019
214,Atalanta,Genoa,22,2,2,2019
215,Milan,Verona,22,1,1,2019
216,Lazio,Spal,22,5,1,2019
217,Lecce,Torino,22,4,0,2019
218,Udinese,Inter,22,0,2,2019
219,Sampdoria,Napoli,22,2,4,2019
220,Roma,Bologna,23,2,3,2019
221,Fiorentina,Atalanta,23,1,2,2019
222,Torino,Sampdoria,23,1,3,2019
223,Verona,Juventus,23,2,1,2019
224,Spal,Sassuolo,23,1,2,2019
225,Genoa,Cagliari,23,1,0,2019
226,Napoli,Lecce,23,2,3,2019
227,Brescia,Udinese,23,1,1,2019
228,Parma,Lazio,23,0,1,2019
229,Inter,Milan,23,4,2,2019
230,Lecce,Spal,24,2,1,2019
231,Bologna,Genoa,24,0,3,2019
232,Atalanta,Roma,24,2,1,2019
233,Udinese,Verona,24,0,0,2019
234,Juventus,Brescia,24,2,0,2019
235,Sampdoria,Fiorentina,24,1,5,2019
236,Sassuolo,Parma,24,0,1,2019
237,Cagliari,Napoli,24,0,1,2019
238,Lazio,Inter,24,2,1,2019
239,Milan,Torino,24,1,0,2019
240,Brescia,Napoli,25,1,2,2019
241,Bologna,Udinese,25,1,1,2019
242,Spal,Juventus,25,1,2,2019
243,Fiorentina,Milan,25,1,1,2019
244,Genoa,Lazio,25,2,3,2019
245,Roma,Lecce,25,4,0,2019
246,Torino,Parma,25,1,1,2019
247,Verona,Cagliari,25,2,1,2019
248,Atalanta,Sassuolo,25,4,1,2019
249,Inter,Sampdoria,25,2,1,2019
250,Lazio,Bologna,26,2,0,2019
251,Napoli,Torino,26,2,1,2019
252,Lecce,Atalanta,26,2,7,2019
253,Cagliari,Roma,26,3,4,2019
254,Parma,Spal,26,0,1,2019
255,Milan,Genoa,26,1,2,2019
256,Sampdoria,Verona,26,2,1,2019
257,Udinese,Fiorentina,26,0,0,2019
258,Juventus,Inter,26,2,0,2019
259,Sassuolo,Brescia,26,3,0,2019
260,Fiorentina,Brescia,27,1,1,2019
261,Lecce,Milan,27,1,4,2019
262,Bologna,Juventus,27,0,2,2019
263,Spal,Cagliari,27,0,1,2019
264,Verona,Napoli,27,0,2,2019
265,Genoa,Parma,27,1,4,2019
266,Torino,Udinese,27,1,0,2019
267,Inter,Sassuolo,27,3,3,2019
268,Atalanta,Lazio,27,3,2,2019
269,Roma,Sampdoria,27,2,1,2019
