Partita,GG,NG
Empoli-Bologna,0.6303317535545023,0.3696682464454976
Monza-Cagliari,0.5687203791469194,0.4312796208530806
Udinese-Torino,0.5545023696682464,0.44549763033175355
Salernitana-Lecce,0.5639810426540285,0.43601895734597157
Frosinone-Lazio,0.6255924170616114,0.3744075829383886
Juventus-Genoa,0.5165876777251185,0.4834123222748815
Verona-Milan,0.6018957345971564,0.3981042654028436
Atalanta-Fiorentina,0.5545023696682464,0.44549763033175355
Roma-Sassuolo,0.4834123222748815,0.5165876777251185
Inter-Napoli,0.5260663507109005,0.47393364928909953
