Partita,O,U
Cagliari-Torino,0.32362994419072655,0.6763700558092735
Atalanta-Udinese,0.5880106227759825,0.41198937722401746
Juventus-Empoli,0.36836459223750295,0.631635407762497
Milan-Bologna,0.23999766878317874,0.7600023312168213
Genoa-Lecce,0.37671573014458204,0.623284269855418
Verona-Frosinone,0.3427291037470689,0.6572708962529311
Monza-Sassuolo,0.3849835955203762,0.6150164044796238
Lazio-Napoli,0.3840537928532064,0.6159462071467936
Fiorentina-Inter,0.5168575635194573,0.48314243648054267
Salernitana-Roma,0.533084381617094,0.466915618382906
