Partita,0,1,2,3,4
Cagliari-Torino,0.45734284604565306,0.3411269281742107,0.14659845912547745,0.04591885731453239,0.009012909340126286
Atalanta-Udinese,0.5018971214578297,0.32645335629247374,0.13923908936515403,0.026232250319439432,0.00617818256510301
Juventus-Empoli,0.7291832942411505,0.2237380698444804,0.03333793541746683,0.009887530734491976,0.0038531697624102916
Milan-Bologna,0.6078373113648574,0.18488031391327814,0.1790114490067463,0.02083403151909109,0.007436894196026988
Genoa-Lecce,0.26801899717113153,0.47444283862829356,0.22550739405235193,0.022775982861149003,0.009254787287073879
Verona-Frosinone,0.4698013267787594,0.2893736863305282,0.20139509976024525,0.032312819578151845,0.0071170675523155
Monza-Sassuolo,0.5459020624437799,0.21757731821986454,0.19233083552488606,0.033704419608705016,0.010485364202764398
Lazio-Napoli,0.37626379967610013,0.39101118006452673,0.166476307772545,0.0488910454782273,0.017357667008600756
Fiorentina-Inter,0.15802080398830864,0.3280218618804577,0.43643210230329327,0.04543565666901169,0.03208957515892844
Salernitana-Roma,0.1601944387190342,0.24589257547566212,0.20046807308482675,0.171108204562098,0.22233670815837883
