Partita,GG,NG
Cagliari-Torino,0.5829383886255924,0.41706161137440756
Atalanta-Udinese,0.46445497630331756,0.5355450236966824
Juventus-Empoli,0.4881516587677725,0.5118483412322274
Milan-Bologna,0.5118483412322274,0.4881516587677725
Genoa-Lecce,0.5450236966824644,0.4549763033175355
Verona-Frosinone,0.5592417061611374,0.44075829383886256
Monza-Sassuolo,0.5260663507109005,0.47393364928909953
Lazio-Napoli,0.5118483412322274,0.4881516587677725
Fiorentina-Inter,0.5971563981042654,0.4028436018957346
Salernitana-Roma,0.6398104265402843,0.36018957345971564
