Partita,V,N,P
Cagliari-Torino,0.17065003692296513,0.5680113973585199,0.26133856571851494
Atalanta-Udinese,0.8846721624704785,0.07629771307880238,0.0390301244507191
Juventus-Empoli,0.6208196787004929,0.30283341086714044,0.07634691043236669
Milan-Bologna,0.21638419513409204,0.49331177884041527,0.2903040260254926
Genoa-Lecce,0.10721279086721226,0.42761817145918773,0.4651690376736
Verona-Frosinone,0.2936180879110621,0.531201209904697,0.17518070218424092
Monza-Sassuolo,0.46464743245261325,0.43320517393074515,0.10214739361664169
Lazio-Napoli,0.13351649308910155,0.3700485038479694,0.49643500306292915
Fiorentina-Inter,0.012461101231466017,0.05671852717301866,0.9308203715955152
Salernitana-Roma,0.03989213485297087,0.42312151859629343,0.5369863465507356
