Partita,O,U
Salernitana-Frosinone,0.22,0.78
Lecce-Genoa,0.34,0.66
Milan-Verona,0.27,0.73
Sassuolo-Juventus,0.27,0.73
Lazio-Monza,0.34,0.66
Empoli-Inter,0.17,0.83
Atalanta-Cagliari,0.24,0.76
Udinese-Fiorentina,0.43,0.57
Bologna-Napoli,0.46,0.54
Torino-Roma,0.26,0.74
