Partita,V,N,P
Salernitana-Frosinone,0.23,0.34,0.43
Lecce-Genoa,0.55,0.23,0.22
Milan-Verona,0.51,0.24,0.25
Sassuolo-Juventus,0.25,0.3,0.45
Lazio-Monza,0.41,0.29,0.3
Empoli-Inter,0.21,0.34,0.45
Atalanta-Cagliari,0.5,0.28,0.21
Udinese-Fiorentina,0.29,0.32,0.39
Bologna-Napoli,0.35,0.26,0.39
Torino-Roma,0.52,0.25,0.23
