Partita,GG,NG
Salernitana-Frosinone,0.31,0.69
Lecce-Genoa,0.32,0.68
Milan-Verona,0.25,0.75
Sassuolo-Juventus,0.25,0.75
Lazio-Monza,0.32,0.68
Empoli-Inter,0.26,0.74
Atalanta-Cagliari,0.26,0.74
Udinese-Fiorentina,0.25,0.75
Bologna-Napoli,0.43,0.57
Torino-Roma,0.36,0.64
