,0,1,2
0,Udinese,Crotone,0 - 0
1,Benevento,Lazio,1 - 1
2,Juventus,Atalanta,1 - 1
3,Fiorentina,Sassuolo,1 - 1
4,Genoa,Milan,2 - 2
5,Inter,Napoli,1 - 0
6,Parma,Cagliari,0 - 0
7,Spezia,Bologna,2 - 2
8,Verona,Sampdoria,1 - 2
9,Roma,Torino,3 - 1
