,0,1,2
0,Cagliari,Benevento,1 - 2
1,Atalanta,Parma,3 - 0
2,Bologna,Udinese,2 - 2
3,Crotone,Roma,1 - 3
4,Lazio,Fiorentina,2 - 1
5,Sampdoria,Inter,2 - 1
6,Sassuolo,Genoa,2 - 1
7,Torino,Verona,1 - 1
8,Napoli,Spezia,1 - 2
9,Milan,Juventus,1 - 3
